word,frequency
military,416
Egyptian,291
political,248
human,179
new,163
other,148
public,143
first,137
many,134
last,125
such,112
civil,106
presidential,106
several,92
international,82
sexual,79
legal,77
former,74
same,72
electoral,64
foreign,64
social,62
constitutional,56
not,55
national,55
independent,53
few,52
recent,50
parliamentary,50
general,49
official,49
interior,48
female,48
different,48
local,47
due,47
high,47
clear,46
religious,44
serious,44
peaceful,43
second,43
main,43
sectarian,42
able,39
civilian,39
current,39
past,38
popular,36
only,36
next,35
old,34
criminal,34
responsible,34
prominent,33
important,33
large,33
major,33
minimum,33
revolutionary,33
similar,32
early,31
economic,31
young,29
real,29
dead,29
much,27
long,26
final,26
domestic,25
Many,25
possible,25
private,24
key,24
good,23
administrative,23
free,23
further,22
violent,22
full,22
informal,22
certain,22
little,21
judicial,21
also,21
necessary,20
financial,20
various,20
fair,20
Several,19
democratic,19
common,19
significant,18
particular,18
positive,18
legislative,18
American,17
basic,17
own,17
illegal,17
brutal,17
medical,17
likely,17
corrupt,17
liberal,17
third,17
prime,17
excessive,17
angry,16
total,16
false,16
numerous,16
daily,16
present,15
Other,15
short,15
unprecedented,15
leftist,15
previous,15
open,15
special,15
senior,14
poor,14
transitional,14
controversial,14
central,14
limited,14
personal,14
separate,14
Israeli,14
dangerous,13
small,13
post-revolution,13
Syrian,13
low,13
executive,13
nationwide,13
Rights,13
whole,13
single,13
ongoing,12
difficult,12
severe,12
hard,12
even,12
accountable,12
actual,12
repressive,12
British,12
heavy,12
joint,12
easy,11
psychological,11
bad,11
nearby,11
sure,11
regular,11
electric,11
great,11
lucky,11
upper,11
safe,11
strong,11
big,11
Last,11
immediate,11
academic,11
male,11
upcoming,10
historic,10
proper,10
cultural,10
huge,10
entire,10
direct,10
then,10
so-called,10
normal,10
physical,10
late,10
available,9
Political,9
Turkish,9
still,9
famous,9
verbal,9
critical,9
genuine,9
insulting,9
armored,9
Such,9
legitimate,9
urban,9
18-day,9
temporary,9
authoritarian,9
potential,9
long-term,8
African,8
powerful,8
extreme,8
absolute,8
annual,8
Human,8
online,8
fact-finding,8
evident,8
individual,8
complete,8
true,8
minor,8
mobile,8
radical,8
systematic,8
Current,8
30-year,8
unclear,7
monthly,7
ablaze,7
unable,7
unknown,7
partial,7
unarmed,7
penal,7
al-Adly,7
investigative,7
specific,7
font-family,7
transparent,7
initial,7
prosecutor-general,7
active,7
impoverished,7
industrial,7
conservative,7
ordinary,7
swift,7
Presidential,7
ready,7
offensive,7
following,7
wide,7
top,7
pro-democracy,7
effective,7
widespread,7
non-governmental,7
underground,7
bloody,7
start,7
illegitimate,7
internal,6
happy,6
relentless,6
post-Mubarak,6
Local,6
premeditated,6
professional,6
unconstitutional,6
global,6
arbitrary,6
concrete,6
deadly,6
keen,6
weak,6
vital,6
preferred,6
random,6
calm,6
just,6
institutional,6
collective,6
blue,6
longstanding,6
sharp,6
quick,6
now,6
empty,6
sick,6
interactive,6
crucial,6
promising,6
match,6
appropriate,6
negative,6
equal,6
illiterate,6
unacceptable,6
sensitive,6
permanent,6
emotional,6
subsequent,6
interim,6
growing,6
lethal,6
dark,5
