word,frequency
human,23
Egyptian,14
such,13
military,10
political,10
sexual,9
civil,8
legal,7
font-family,7
new,6
several,6
executive,6
same,4
public,4
last,4
different,4
independent,4
font-face,4
clear,4
first,4
real,4
recent,3
other,3
informal,3
similar,3
joint,3
general,3
due,3
religious,3
common,2
unacceptable,2
female,2
civilian,2
great,2
national,2
international,2
post-revolution,2
physical,2
minimum,2
not,2
separate,2
few,2
interior,2
entire,2
previous,2
many,2
late,2
social,2
30-year,2
font-size,2
only,2
much,2
pro-democracy,1
defunct,1
key,1
young,1
second,1
worth,1
Local,1
blind-sided,1
annual,1
personal,1
widely-misused,1
semi-organised,1
Other,1
call,1
unfair,1
margin-right,1
leftist,1
prime,1
administrative,1
eligible,1
short,1
former,1
dead,1
autocratic,1
anti-privatisation,1
judicial,1
basic,1
financial,1
foreign,1
popular,1
Next,1
early,1
penal,1
agricultural,1
influential,1
bad,1
little,1
dazzling,1
major,1
unprecedented,1
concrete,1
12pt,1
specific,1
dangerous,1
Many,1
nongovernmental,1
electoral,1
French,1
margin-left,1
self-built,1
Political,1
Last,1
10pt,1
preliminary,1
accountable,1
current,1
associate,1
15-minute,1
still,1
Drop,1
0.0001pt,1
culpable,1
criminalized,1
controversial,1
economic,1
adamant,1
overall,1
domestic,1
immediate,1
secret,1
direct,1
additional,1
following,1
repressive,1
various,1
prosecutor-general,1
excessive,1
next,1
internal,1
dark,1
fourth,1
original,1
harsh,1
African,1
.MsoChpDefault,1
ready,1
own,1
eighth,1
cultural,1
past,1
low,1
div.WordSection1,1
old,1
upper,1
deep,1
week-long,1
promising,1
unlicensed,1
verbal,1
uncomfortable,1
two-year,1
peaceful,1
mostly,1
lengthy,1
main,1
consequent,1
improperly-acquired,1
div.MsoNormal,1
minimal,1
