word,frequency
said,32
is,30
was,30
has,29
were,23
have,21
are,20
filed,19
been,16
told,13
says,12
had,11
',10
be,9
according,8
According,8
lawyer,7
arrested,7
working,7
in,7
including,7
released,6
insulting,6
described,6
governorate,6
condemned,6
included,5
documented,5
building,5
stated,5
that,5
being,5
contesting,5
published,5
issued,5
trying,5
killed,5
established,4
following,4
blocked,4
see,4
saying,4
do,4
such,4
include,4
allow,4
launched,4
reported,4
signed,3
held,3
announced,3
attacked,3
attack,3
continue,3
decision,3
armed,3
added,3
regarding,3
taking,3
increased,3
shown,3
demanding,3
create,3
explained,3
happened,3
take,3
expressed,3
argued,2
includes,2
group,2
noted,2
used,2
conference,2
led,2
engage,2
built,2
protect,2
fighting,2
organised,2
initiated,2
airport,2
made,2
n,2
caught,2
entitled,2
tortured,2
seen,2
director,2
mob,2
formed,2
programme,2
titled,2
activist,2
ousted,2
took,2
called,2
obtained,2
look,2
stand,2
sentenced,2
exceeds,2
influence,2
vote,2
speak,2
committed,2
stop,2
attacking,2
receiving,2
does,2
announce,2
carry,2
behalf,2
carried,2
deeming,2
detained,2
campaigners,2
beat,2
part,2
account,2
prevented,2
started,2
leading,2
interviewed,2
involved,2
return,2
exceeded,2
using,2
human,1
citizens,1
listened,1
making,1
resulted,1
became,1
biased,1
listen,1
misguide,1
monitors,1
score,1
appeared,1
cooperating,1
nothing,1
located,1
think,1
congratulate,1
rights,1
surrounded,1
standing,1
calls,1
spreading,1
witnessed,1
listing,1
citing,1
implemented,1
protecting,1
press,1
contradict,1
discrimination,1
proponents,1
organized,1
belonged,1
collecting,1
liberate,1
unmerciful,1
open,1
posted,1
deposed,1
set,1
Write,1
support,1
Following,1
downtown,1
imagined,1
encountered,1
changed,1
incidents,1
today,1
stamped,1
withdraw,1
guarantees,1
marks,1
submitted,1
beginning,1
marked,1
involving,1
altered,1
participating,1
eating,1
monitored,1
isolated,1
sold,1
coming,1
replicates,1
month,1
vindicating,1
show,1
kicked,1
faced,1
threatens,1
appealed,1
grow,1
lead,1
call,1
suggested,1
reveal,1
handed,1
trust,1
cover,1
revealed,1
resigned,1
don,1
presented,1
justifies,1
Monitoring,1
becoming,1
beaten,1
coverage,1
getting,1
practicing,1
protected,1
go,1
admitted,1
incriminating,1
‘,1
punched,1
researcher,1
adjourned,1
happen,1
interrogation,1
challenging,1
obvious,1
dealing,1
governorates,1
came,1
budget,1
punished,1
allocation,1
arrived,1
pressure,1
dictator,1
gathered,1
give,1
success,1
devoted,1
wrote,1
reporting,1
incitement,1
raises,1
collaborated,1
expressing,1
waiting,1
did,1
beating,1
emerging,1
named,1
reminded,1
Fixing,1
cites,1
going,1
receives,1
put,1
play,1
planned,1
documenting,1
life,1
Death,1
covering,1
assure,1
appointed,1
compared,1
Looking,1
echoing,1
excluding,1
managed,1
forced,1
mourn,1
tackles,1
projects,1
prompted,1
asserted,1
closing,1
headed,1
agreed,1
songs,1
sued,1
appearing,1
written,1
adding,1
pursuing,1
saw,1
legitimise,1
’,1
conducted,1
hold,1
want,1
trumped,1
leaving,1
assaulted,1
followed,1
escalated,1
concerning,1
address,1
amounted,1
sessions,1
allowed,1
discuss,1
cited,1
demonstrating,1
heard,1
trusted,1
believes,1
convinced,1
investigated,1
use,1
preventing,1
information,1
interferes,1
provides,1
exclude,1
register,1
oversee,1
Providing,1
owned,1
march,1
consolidate,1
obey,1
serving,1
caused,1
local,1
reopens,1
watchdog,1
grantasylum,1
worked,1
suppress,1
wanted,1
declared,1
compiling,1
wants,1
indicate,1
detention,1
military,1
intervene,1
created,1
associated,1
tried,1
on,1
provide,1
believe,1
registered,1
explains,1
facing,1
dispersed,1
know,1
indicates,1
designed,1
indicted,1
refused,1
overthrown,1
win,1
asked,1
fix,1
parliament,1
opened,1
Speaking,1
pertaining,1
time,1
condemns,1
publishing,1
–,1
perceived,1
broadcast,1
expect,1
tacked,1
private,1
monitoring,1
failing,1
takes,1
occurred,1
police,1
taken,1
paid,1
recognised,1
determining,1
participate,1
highlighted,1
counter,1
aims,1
complained,1
acquitted,1
criticise,1
promises,1
failed,1
as,1
at,1
case,1
defines,1
criminalizing,1
meted,1
previous,1
ensure,1
violated,1
charged,1
done,1
urging,1
district,1
…,1
listed,1
supervising,1
secure,1
contain,1
establish,1
runs,1
echoed,1
stipulated,1
chosen,1
organization,1
development,1
stipulates,1
opposed,1
questioned,1
adopt,1
