word,frequency
military,587
Egyptian,453
political,448
human,379
other,324
public,271
such,264
new,263
civil,240
first,207
foreign,175
religious,164
legal,160
many,153
last,143
general,143
international,142
former,135
same,129
social,117
several,117
current,112
female,104
sexual,100
judicial,97
local,97
independent,89
interior,89
parliamentary,89
different,86
not,85
due,85
official,80
presidential,80
only,79
sectarian,76
second,76
national,71
constitutional,70
illegal,70
electoral,69
criminal,68
dead,64
main,62
minimum,61
free,59
own,59
clear,59
old,58
recent,58
previous,55
private,55
able,55
civilian,55
next,54
fair,54
economic,53
past,53
personal,53
similar,51
peaceful,50
responsible,50
few,50
certain,46
further,46
administrative,46
legislative,44
important,44
large,44
real,43
long,42
democratic,41
serious,39
medical,39
environmental,37
basic,37
joint,36
high,36
full,35
strong,35
ongoing,35
popular,35
executive,35
open,34
small,34
possible,34
Political,34
upcoming,33
direct,33
violent,33
available,33
Many,32
prominent,32
final,32
also,32
young,32
transitional,31
individual,31
positive,30
early,30
specific,30
excessive,30
systematic,29
online,29
limited,29
necessary,29
third,29
central,29
domestic,28
hard,28
good,28
great,28
various,27
major,27
present,27
difficult,27
Other,26
critical,25
poor,25
little,25
immediate,25
daily,24
much,24
fact-finding,24
true,24
Several,24
key,23
special,23
financial,23
corrupt,23
equal,23
whole,23
physical,23
transparent,22
Last,22
single,22
low,22
–Additional,22
arbitrary,21
Rights,21
negative,20
penal,20
Libyan,20
controversial,20
dangerous,19
significant,19
Israeli,19
initial,19
just,19
temporary,18
unprecedented,18
chief,18
professional,18
random,18
huge,18
enough,18
urgent,18
entire,18
non-governmental,17
call,17
Such,17
successful,17
effective,17
accountable,17
annual,17
internal,17
late,17
academic,17
maximum,17
total,16
start,16
monthly,16
separate,16
complete,16
severe,15
impartial,15
senior,15
Syrian,15
right,15
18-day,15
revolutionary,15
false,15
secular,15
governmental,14
big,14
state-run,14
bad,14
nationwide,14
nearby,14
active,14
silent,14
forensic,14
prime,14
sure,14
proper,14
original,13
top,13
wide,13
legitimate,13
brutal,13
hostile,13
state-owned,13
down,13
essential,13
numerous,13
unacceptable,13
mobile,13
safe,13
crucial,13
regional,13
happy,13
likely,12
unclear,12
global,12
unconstitutional,12
Additional,12
primary,12
widespread,12
terrorist,12
British,12
short,12
Human,12
ready,12
male,12
secret,12
optimistic,12
easy,12
fine,12
impossible,12
help,12
even,12
promising,12
Palestinian,12
wrong,12
liberal,12
illicit,11
innocent,11
insulting,11
pharmaceutical,11
investigative,11
educational,11
apparent,11
common,11
obvious,11
repressive,11
then,11
adequate,11
additional,11
worth,11
anonymous,11
extreme,11
willing,11
al-Dam,11
Security,11
comprehensive,11
traditional,10
minimal,10
armored,10
Swiss,10
American,10
harsh,10
psychological,10
famous,10
accurate,10
weak,10
appropriate,10
particular,10
reluctant,10
guilty,10
exceptional,10
powerful,10
quick,10
ordinary,10
unified,10
cultural,10
pro-democracy,9
offensive,9
diverse,9
unknown,9
exact,9
multiple,9
authoritarian,9
eligible,9
unique,9
unable,9
genuine,9
modern,9
illegitimate,9
Police,9
black,9
feminist,9
overall,9
vague,9
continuous,8
unidentified,8
pornographic,8
interim,8
external,8
oppressive,8
nuclear,8
notorious,8
unlicensed,8
double,8
acceptable,8
confident,8
disciplinary,8
technical,8
extensive,8
verbal,8
conservative,8
organic,8
unlawful,8
illiterate,8
coming,8
unfair,8
Military,8
Prominent,7
shocking,7
natural,7
fresh,7
collective,7
ministerial,7
moderate,7
catastrophic,7
European,7
year-old,7
neutral,7
extremist,7
fourth,7
preferred,7
formal,7
electric,7
deliberate,7
holy,7
heavy,7
Meet,7
phosphoric,7
rare,7
upper,7
intense,7
frequent,7
back,7
vital,7
broad,7
always,7
permanent,7
Senior,7
partial,7
unjust,7
deep,7
unauthorized,7
fundamental,7
strategic,7
red,7
long-term,7
socio-economic,6
disturbing,6
overnight,6
ranking,6
empty,6
often,6
decisive,6
interested,6
friendly,6
swift,6
stable,6
fierce,6
indirect,6
regular,6
cosmetic,6
afraid,6
skeptical,6
procedural,6
deadly,6
growing,6
subsequent,6
Similar,6
contradictory,6
stark,6
Swedish,6
massive,6
unlikely,6
strict,6
civic,6
absent,6
punishable,6
slow,6
contrary,6
gross,6
minor,6
parallel,6
potential,6
credible,6
average,6
solitary,6
preliminary,6
constant,6
western,6
angry,6
extraordinary,6
striking,6
agricultural,6
normal,6
three-year,6
sustainable,5
pardon,5
rapid,5
industrial,5
non-profit,5
electronic,5
outspoken,5
dependent,5
prior,5
tight,5
cordoned-off,5
rich,5
inhumane,5
mere,5
sixth,5
militant,5
election-related,5
advisory,5
complex,5
evident,5
oppressed,5
vicious,5
hopeful,5
mental,5
governorate,5
counterfeit,5
overwhelming,5
so,5
bloody,5
intellectual,5
especially,5
unfounded,5
legally,5
calm,5
coastal,5
flagrant,5
keen,5
sufficient,5
usually,5
very,5
practical,5
makeshift,5
autocratic,5
premeditated,5
anti-Morsy,5
never,5
high-profile,5
simple,5
unchanged,5
fiscal,5
appealing,5
customary,5
plain-clothed,5
fifth,5
rival,5
insufficient,5
harmful,5
efficient,5
dark,4
juvenile,4
competent,4
Democratic,4
increasing,4
fascist,4
commercial,4
together,4
gradual,4
alive,4
countless,4
logical,4
fatal,4
elderly,4
blame,4
balanced,4
patriarchal,4
egregious,4
Western,4
futile,4
lengthy,4
psychiatric,4
soft,4
hesitant,4
cheap,4
ill-treatment,4
post-revolutionary,4
wrongful,4
29th,4
