word,frequency
human,41
Egyptian,40
military,34
such,27
legal,22
political,20
public,19
other,17
civil,14
last,13
several,12
independent,12
new,11
female,11
many,10
former,10
interior,10
joint,9
recent,9
foreign,9
executive,9
international,9
sexual,9
real,9
same,8
sectarian,8
first,7
only,7
different,7
illegal,7
religious,7
local,6
responsible,6
personal,6
previous,6
general,6
fair,6
judicial,5
national,5
parliamentary,5
key,5
economic,5
free,4
serious,4
administrative,4
dead,4
legislative,4
temporary,4
negative,4
official,4
also,4
social,4
numerous,4
Last,4
current,4
presidential,4
long,4
minimum,4
environmental,4
transparent,3
high,3
peaceful,3
clear,3
unconstitutional,3
able,3
past,3
special,3
full,3
rights-focused,3
criminal,3
main,3
immediate,3
popular,3
medical,3
further,3
liberal,3
harsh,3
broad,3
accountable,3
Other,3
cultural,3
splintered,3
private,2
necessary,2
active,2
daily,2
feminist,2
non-governmental,2
anti-Violence,2
holy,2
dangerous,2
brutal,2
Meet,2
verbal,2
significant,2
low,2
various,2
original,2
prime,2
institutional,2
next,2
positive,2
initial,2
mostly-Coptic,2
upcoming,2
Several,2
direct,2
much,2
short,2
late,2
absolute,2
critical,2
fine,2
tortured,2
unprecedented,2
exceptional,2
catastrophic,2
physical,2
important,2
difficult,2
online,2
year-old,2
hysterical,2
Human,2
present,2
final,2
good,2
few,2
equal,2
civilian,2
little,2
specific,2
polemical,2
excessive,2
large,2
urgent,2
successful,2
hard,2
monthly,2
ancient,2
sudden,1
constructive,1
run,1
comprehensive,1
sincere,1
11-page,1
promising,1
sharing,1
decisive,1
horrific,1
deliberate,1
insulting,1
energy-intensive,1
repressive,1
Presidential,1
advisory,1
mean,1
post-Mubarak,1
41-year-old,1
lengthy,1
anti-Christian,1
two-day,1
innocent,1
overnight,1
Instead,1
covert,1
then,1
opportunistic,1
secret,1
dark,1
practical,1
own,1
16-day,1
similar,1
likely,1
equitable,1
fourth,1
approximate,1
socioeconomic,1
Additional,1
safe,1
primary,1
detrimental,1
Local,1
associate,1
sometimes,1
mental,1
indigent,1
conservative,1
egregious,1
stark,1
black,1
drunk,1
start,1
old,1
state-owned,1
electoral,1
interested,1
available,1
early,1
Such,1
deep,1
Democratic,1
pharmaceutical,1
in-depth,1
call,1
theatrical,1
sure,1
unpopular,1
arbitrary,1
optimistic,1
great,1
limited,1
poor,1
strange,1
unlawful,1
whole,1
campaign-related,1
Many,1
roundtable,1
112-year,1
operational,1
recipient,1
discriminatory,1
al-Dam,1
Personal,1
together,1
constitutional,1
staunch,1
pro-democracy,1
young,1
affordable,1
Masralla,1
industrial,1
prejudicial,1
typical,1
deadly,1
obligatory,1
academic,1
transitional,1
disappointing,1
rising,1
grunt,1
traditional,1
ministerial,1
two-year,1
accessible,1
formal,1
Libyan,1
diverse,1
entire,1
hopeful,1
electric,1
hateful,1
Syrian,1
professional,1
fact-finding,1
regular,1
state-funded,1
African,1
incompetent,1
conspiracy-tainted,1
precise,1
usual,1
moderate,1
disproportionately,1
sufficient,1
so,1
staggering,1
overdue,1
investigative,1
countless,1
common,1
innovative,1
unchanged,1
notable,1
www.dostor.org,1
subsequent,1
structural,1
armored,1
enough,1
Jewish,1
Labor,1
European,1
play,1
prominent,1
punishable,1
global,1
always,1
psychiatric,1
grateful,1
ongoing,1
unacceptable,1
instrumental,1
penal,1
contemporary,1
preparatory,1
intensive,1
happy,1
open,1
close,1
Appropriate,1
help,1
tumultuous,1
male,1
New,1
irrelevant,1
cosmetic,1
illiterate,1
atheist,1
outright,1
exact,1
17-year-old,1
decades-old,1
obvious,1
participatory,1
up-down,1
quarterly,1
state-security,1
familiar,1
anti-riot,1
Similar,1
unregistered,1
technology-based,1
possible,1
passive,1
www.badil.net,1
finally,1
three-year,1
heinous,1
Rights,1
uncommon,1
just,1
regularly,1
juvenile,1
following,1
unified,1
ready,1
rival,1
especially,1
permanent,1
invalid,1
due,1
well-known,1
security-obsessed,1
not,1
