word,frequency
said,174
is,136
was,114
were,83
are,65
have,64
be,53
told,49
’,46
had,40
has,39
been,35
issued,33
including,31
filed,28
released,28
according,22
According,21
held,19
called,17
being,17
arrested,17
saying,16
signed,16
stated,14
used,13
accused,12
following,11
published,11
condemned,11
demanding,10
made,10
based,10
condemning,9
sent,9
sentenced,9
included,9
rights,9
include,9
expected,9
adding,9
take,8
describing,8
denounced,8
working,8
noted,8
put,8
do,7
launched,7
in,7
took,7
detained,7
report,7
says,7
calling,7
killed,7
carrying,7
as,7
granted,6
criticised,6
set,6
reported,6
joined,6
announced,6
insulting,6
committed,6
accusing,6
using,6
did,6
referred,6
injured,6
given,6
criticized,6
documented,6
believe,6
demanded,6
added,6
described,5
need,5
presented,5
asked,5
violates,5
leading,5
monitor,5
continued,5
representing,5
provide,5
seen,5
death,5
go,5
regarding,5
surrounding,5
statement,5
forced,5
taken,5
treated,5
expressed,4
demand,4
suggested,4
discuss,4
governorate,4
group,4
organized,4
want,4
armed,4
keep,4
get,4
fighting,4
going,4
appeal,4
attempted,4
trying,4
protest,4
wrote,4
allowed,4
related,4
organised,4
reform,4
saw,4
say,4
attended,4
handed,4
decision,4
brought,4
drafted,4
military,4
claimed,4
give,4
lead,4
started,4
monitoring,4
found,4
charged,4
belonging,4
registered,4
didn,4
speak,4
attacked,4
works,4
that,4
change,3
assaulting,3
investigate,3
stop,3
won,3
denied,3
hold,3
don,3
see,3
dealt,3
left,3
improve,3
needed,3
pass,3
committee,3
send,3
dispersed,3
dealing,3
wants,3
includes,3
lifted,3
court,3
Speaking,3
dropped,3
entering,3
does,3
ordered,3
preventing,3
heads,3
force,3
participating,3
question,3
came,3
passed,3
addressed,3
family,3
consider,3
governorates,3
turned,3
law,3
urged,3
speech,3
calls,3
implementing,3
taking,3
died,3
live,3
highlighted,3
of,3
…,3
assaulted,3
warned,3
form,3
concluded,3
killing,3
nothing,3
—,3
titled,3
follow,3
echoed,3
recorded,3
considered,3
settle,3
identified,3
received,3
ensure,3
security,3
focus,3
giving,3
receive,3
for,3
expressing,3
enables,3
marks,2
remove,2
scheduled,2
way,2
prepared,2
research,2
beginning,2
collected,2
subjected,2
investigating,2
showed,2
run,2
Following,2
putting,2
polling,2
agreed,2
argued,2
argues,2
ousted,2
represent,2
violated,2
ouster,2
solve,2
claiming,2
aimed,2
trial,2
reached,2
owned,2
estimated,2
lawyer,2
subjecting,2
encounter,2
represented,2
met,2
demonstrated,2
ease,2
torturing,2
support,2
respect,2
attend,2
offer,2
performing,2
restricted,2
outlining,2
urinating,2
restore,2
launching,2
confirmed,2
sign,2
Program,2
inciting,2
opposed,2
raised,2
hidden,2
handled,2
choosing,2
went,2
think,2
part,2
violating,2
show,2
discussed,2
headed,2
help,2
organisation,2
–,2
concerned,2
rejected,2
become,2
read,2
defence,2
ignored,2
unit,2
intervene,2
concerns,2
refer,2
Hate,2
dissolved,2
proclaiming,2
detailing,2
prevented,2
remains,2
means,2
coming,2
release,2
presidency,2
diffuse,2
prevent,2
citing,2
ripping,2
securing,2
biased,2
burnt,2
causing,2
restructure,2
running,2
addressing,2
keeps,2
expose,2
am,2
witnessed,2
Commenting,2
tarnish,2
proceeded,2
suffer,2
determine,2
needs,2
complained,2
than,2
police,2
carry,2
stamped,2
asking,2
prompting,2
document,2
deny,2
tortured,2
end,2
involved,2
observed,2
after,2
missing,2
leave,2
stood,2
requested,2
done,2
make,2
punished,2
aims,2
come,2
showing,2
labeling,2
about,2
increased,2
overturned,2
continuing,2
attacking,2
living,2
honouring,2
requesting,2
issue,2
facing,2
work,2
attack,2
happened,2
applied,2
attempting,2
noticed,2
t,2
affect,2
disciplinary,2
decided,2
listened,2
violence,2
shows,2
wear,2
refusing,2
Supporting,2
manager,2
create,2
investigation,2
comprises,2
changing,2
meet,2
toppled,2
enter,2
expects,2
visited,2
team,2
led,2
commence,2
officer,2
known,2
recounted,2
tried,2
revealed,2
alleged,2
finished,2
abused,2
protect,2
getting,2
worked,2
specify,2
continue,2
wanted,1
researcher,1
starts,1
terrify,1
watchdog,1
over,1
obvious,1
amend,1
grow,1
acting,1
judged,1
demonstrations,1
sectarianism,1
ask,1
shared,1
principles,1
describes,1
stigmatize,1
board,1
vigilance,1
viewed,1
ceded,1
striving,1
Repeated,1
coordinate,1
reflected,1
leaves,1
diverts,1
withdrew,1
government,1
steal,1
appealed,1
believed,1
affiliated,1
permits,1
highlights,1
conducted,1
absented,1
marched,1
contesting,1
speaks,1
abandon,1
announce,1
ruled,1
write,1
considering,1
ve,1
manipulating,1
starting,1
linked,1
Meet,1
insult,1
damage,1
pointed,1
retry,1
suspended,1
located,1
blaming,1
describe,1
estranged,1
internet,1
donate,1
co-signed,1
questioned,1
deserve,1
ascertain,1
looked,1
votes,1
storm,1
comes,1
believing,1
having,1
preserving,1
spearheading,1
suppressing,1
pronounced,1
imprisoned,1
pointing,1
incitement,1
process,1
focuses,1
confirm,1
crackdown,1
seeks,1
reviewing,1
adopted,1
gearing,1
defense,1
indicating,1
formed,1
decide,1
female,1
deemed,1
mishandling,1
absence,1
resolve,1
key,1
raise,1
dubbed,1
protecting,1
religion,1
interviewed,1
muted,1
exceeded,1
gave,1
national,1
solving,1
resign,1
extraditing,1
election,1
hired,1
unleash,1
supports,1
insisted,1
re,1
holding,1
regulating,1
coal,1
defame,1
restricting,1
achieve,1
money,1
approached,1
modifying,1
health,1
convicted,1
incriminates,1
derailing,1
martyrs,1
seeking,1
concerning,1
nationalise,1
guarding,1
plenty,1
join,1
continues,1
decides,1
Seeking,1
written,1
denounces,1
body,1
care,1
counted,1
efforts,1
TV,1
apply,1
smuggled,1
business,1
annul,1
summoning,1
forged,1
easing,1
In,1
collaboration,1
week,1
draws,1
granting,1
deploy,1
march,1
accusation,1
Defending,1
commit,1
moved,1
Cutting,1
coordinating,1
perpetuated,1
defend,1
mingling,1
financed,1
cracked,1
protesting,1
comments,1
access,1
banning,1
couldn,1
dispersing,1
paying,1
Investigating,1
find,1
pushing,1
promotion,1
counting,1
print,1
supposed,1
executive,1
submitting,1
breaching,1
renovate,1
fielded,1
strict,1
raped,1
producing,1
plagued,1
hit,1
sticking,1
verify,1
watch,1
until,1
cited,1
prosecute,1
assist,1
recommending,1
upgrading,1
falling,1
reporters,1
use,1
interrelating,1
civil,1
excluding,1
specified,1
revolt,1
vote,1
contemplate,1
communicating,1
encourage,1
abided,1
try,1
asserted,1
existing,1
parliamentary,1
resort,1
links,1
operating,1
opposes,1
smear,1
deeming,1
endangers,1
pending,1
considers,1
doing,1
excludes,1
evict,1
kill,1
serving,1
believes,1
squandering,1
uses,1
gain,1
seem,1
resubmitted,1
removed,1
proposed,1
backed,1
represents,1
returning,1
posted,1
fled,1
ignore,1
such,1
shot,1
prosecuting,1
destroyed,1
shaped,1
communicate,1
raping,1
emerged,1
avoid,1
spoke,1
suffering,1
open,1
occurred,1
activist,1
suspected,1
privatized,1
extending,1
allows,1
remarks,1
blocking,1
doubled,1
programme,1
eliminate,1
disturbed,1
accompanied,1
sponsored,1
surround,1
dispute,1
underlined,1
argue,1
verdict,1
sway,1
escalating,1
Putting,1
withdraw,1
objected,1
proposes,1
recognizing,1
utilize,1
compared,1
passes,1
harmed,1
facilitate,1
ensuring,1
campaigning,1
address,1
nobody,1
case,1
turn,1
headquarters,1
varied,1
endangering,1
stresses,1
clothes,1
blocked,1
liked,1
goes,1
reviewed,1
declined,1
organize,1
served,1
hatred,1
advocating,1
videos,1
transfer,1
contacted,1
sought,1
coalition,1
poll,1
distributing,1
half,1
inheriting,1
If,1
punish,1
coverage,1
transporting,1
Regarding,1
tackled,1
dictatorship,1
appalled,1
reporting,1
announcing,1
adhering,1
entail,1
allocate,1
sanctioned,1
virginity,1
imposes,1
speaking,1
hanged,1
sentiment,1
spreads,1
gone,1
strike,1
hosted,1
awareness,1
opened,1
deteriorate,1
controlling,1
shaping,1
elucidate,1
refused,1
office,1
meant,1
distributed,1
embarrass,1
resumed,1
express,1
demonstrating,1
remain,1
deal,1
builds,1
supported,1
bear,1
mean,1
beat,1
shut,1
relieve,1
sentence,1
pressure,1
begin,1
spread,1
suspend,1
disband,1
looks,1
accepted,1
reviews,1
defining,1
Be,1
someone,1
motivated,1
adopt,1
awarded,1
allowing,1
warning,1
discredit,1
immigration,1
imposed,1
revised,1
comparing,1
seems,1
percent,1
fate,1
labelled,1
state-owned,1
issuing,1
democracy,1
account,1
pose,1
responsibility,1
expect,1
chasing,1
implement,1
cooperate,1
approved,1
protesters,1
surpassed,1
participate,1
offending,1
reassess,1
adherents,1
insults,1
lodged,1
pay,1
accept,1
inherited,1
constituency,1
challenged,1
detain,1
cast,1
appealing,1
tension,1
out,1
tax,1
criminalizing,1
stressed,1
dignified,1
supervising,1
refraining,1
resume,1
system,1
breaking,1
Saw,1
face,1
voicing,1
gathered,1
organization,1
burning,1
enhance,1
adjourned,1
betting,1
assigned,1
