word,frequency
human,43
Egyptian,38
military,30
such,29
legal,20
civil,18
political,18
other,17
last,14
public,14
foreign,14
independent,12
international,11
joint,10
several,10
former,10
interior,10
female,10
new,10
executive,9
recent,9
same,8
sectarian,8
sexual,8
first,8
many,7
clear,7
parliamentary,7
judicial,7
current,6
personal,6
economic,6
real,6
illegal,6
general,6
religious,6
official,5
responsible,5
minimum,5
environmental,5
previous,5
administrative,4
numerous,4
local,4
legislative,4
different,4
key,4
national,4
long,4
accountable,4
fair,4
special,3
temporary,3
free,3
transparent,3
high,3
social,3
rights-focused,3
unconstitutional,3
Other,3
immediate,3
further,3
happy,3
liberal,3
available,3
harsh,3
next,3
broad,3
splintered,3
not,3
private,2
feminist,2
disappointing,2
necessary,2
sovereign,2
anti-Violence,2
tortured,2
dead,2
active,2
late,2
fact-finding,2
full,2
maximum,2
daily,2
exceptional,2
non-governmental,2
main,2
catastrophic,2
formal,2
physical,2
Last,2
dangerous,2
brutal,2
Meet,2
verbal,2
difficult,2
Several,2
significant,2
low,2
prominent,2
hysterical,2
presidential,2
holy,2
ongoing,2
medical,2
final,2
good,2
open,2
mostly-Coptic,2
initial,2
serious,2
due,2
ancient,2
equal,2
civilian,2
negative,2
urgent,2
electoral,2
excessive,2
online,2
cultural,2
monthly,2
only,2
young,2
successful,2
typical,1
sincere,1
unclear,1
16-day,1
professional,1
obligatory,1
academic,1
transitional,1
Presidential,1
run,1
comprehensive,1
also,1
second,1
traditional,1
promising,1
unlimited,1
sharing,1
third,1
two-year,1
decisive,1
accessible,1
Government-run,1
ministerial,1
technological,1
much,1
unacceptable,1
mobile,1
in-kind,1
energy-intensive,1
well,1
unprecedented,1
peaceful,1
Syrian,1
western,1
appropriate,1
little,1
cosmetic,1
advisory,1
mean,1
post-Mubarak,1
regular,1
constructive,1
ready,1
African,1
incompetent,1
lengthy,1
anti-Christian,1
theatrical,1
state-owned,1
two-day,1
usual,1
limited,1
disproportionately,1
genuine,1
then,1
sufficient,1
staggering,1
tumultuous,1
overdue,1
secret,1
dark,1
associate,1
common,1
innovative,1
juvenile,1
important,1
www.dostor.org,1
Such,1
criminal,1
European,1
structural,1
financial,1
armored,1
vital,1
diverse,1
fourth,1
approximate,1
enough,1
precise,1
Libyan,1
conservative,1
empty,1
basic,1
state-funded,1
own,1
year-old,1
socioeconomic,1
41-year-old,1
Human,1
various,1
overnight,1
popular,1
electronic,1
primary,1
institutional,1
bodily,1
positive,1
Local,1
tough,1
contemporary,1
grateful,1
policy-making,1
Appropriate,1
indigent,1
able,1
punishable,1
drunk,1
stark,1
senior,1
psychiatric,1
preparatory,1
intermediate,1
fine,1
start,1
Israeli,1
entire,1
help,1
past,1
state-run,1
deliberate,1
hard,1
sure,1
11-page,1
rising,1
upcoming,1
inviolable,1
absolute,1
prime,1
specific,1
unqualified,1
outright,1
direct,1
deep,1
exact,1
17-year-old,1
Democratic,1
decades-old,1
pharmaceutical,1
obvious,1
equitable,1
severe,1
run-off,1
investigative,1
call,1
faraway,1
up-down,1
quarterly,1
repressive,1
anti-riot,1
Similar,1
Personal,1
arbitrary,1
optimistic,1
technology-based,1
poor,1
strange,1
unlawful,1
pre-revolution,1
large,1
www.badil.net,1
multiple,1
straight,1
campaign-related,1
Many,1
roundtable,1
112-year,1
hopeful,1
global,1
three-year,1
affordable,1
heinous,1
recipient,1
discriminatory,1
interested,1
just,1
black,1
regularly,1
al-Dam,1
New,1
unified,1
instrumental,1
rival,1
together,1
constitutional,1
short,1
pro-democracy,1
especially,1
invalid,1
violent,1
well-known,1
totalitarian,1
vicious,1
