word,frequency
said,175
is,124
was,90
were,63
are,57
be,51
have,50
’,47
told,47
has,37
issued,34
had,34
been,33
including,32
filed,27
released,27
according,25
held,20
called,18
According,18
saying,14
signed,14
being,12
condemned,12
published,11
used,11
include,10
condemning,9
sent,9
following,9
announced,9
demanding,9
accused,9
noted,9
do,8
denounced,8
included,8
rights,8
take,8
given,8
stated,8
calling,8
made,8
expected,8
as,8
launched,7
describing,7
working,7
decision,7
that,7
based,7
put,7
added,7
in,6
accusing,6
representing,6
provide,6
came,6
detained,6
arrested,6
granted,6
says,6
adding,6
described,5
denied,5
hold,5
violates,5
set,5
reported,5
joined,5
discuss,5
monitor,5
want,5
continued,5
using,5
injured,5
death,5
took,5
demanded,5
criticized,5
military,5
statement,5
report,5
documented,5
killed,5
carrying,5
charged,5
shows,5
subjected,4
expressed,4
investigate,4
presented,4
asked,4
see,4
group,4
sentenced,4
organized,4
attended,4
includes,4
armed,4
did,4
get,4
demand,4
fighting,4
seen,4
protest,4
organised,4
reform,4
saw,4
surrounding,4
urged,4
brought,4
taking,4
died,4
give,4
warned,4
started,4
monitoring,4
belonging,4
didn,4
security,4
works,4
…,4
turned,3
run,3
prepared,3
need,3
send,3
stop,3
raising,3
agreed,3
criticised,3
ousted,3
violated,3
suggested,3
governorate,3
leading,3
needed,3
pass,3
insulting,3
committed,3
dispersed,3
support,3
dealing,3
find,3
lifted,3
court,3
Speaking,3
cited,3
does,3
civil,3
ordered,3
opposed,3
heads,3
going,3
regarding,3
help,3
rejected,3
wrote,3
related,3
family,3
reach,3
say,3
trying,3
coming,3
citing,3
addressing,3
calls,3
drafted,3
accept,3
claimed,3
assaulted,3
concluded,3
killing,3
about,3
forced,3
nothing,3
—,3
attacking,3
found,3
happened,3
treated,3
echoed,3
recorded,3
decided,3
believe,3
considered,3
speak,3
entering,3
received,3
ensure,3
attacked,3
changing,3
taken,3
for,3
expressing,3
marks,2
way,2
change,2
research,2
beginning,2
interviewed,2
assaulting,2
won,2
permits,2
ripping,2
Following,2
announce,2
putting,2
polling,2
argued,2
argues,2
represent,2
ouster,2
solve,2
claiming,2
pointing,2
aimed,2
owned,2
left,2
estimated,2
singling,2
adopted,2
improve,2
formed,2
outlining,2
lawyer,2
subjecting,2
disciplinary,2
represented,2
gave,2
met,2
committee,2
demonstrated,2
call,2
ease,2
torturing,2
holding,2
respect,2
attend,2
declared,2
performing,2
wants,2
commit,2
requested,2
smuggled,2
launching,2
like,2
bring,2
confirmed,2
failing,2
facing,2
Program,2
referred,2
inciting,2
raised,2
preventing,2
kill,2
serving,2
hidden,2
seem,2
force,2
appeal,2
choosing,2
go,2
part,2
question,2
avoid,2
escalating,2
headed,2
organisation,2
–,2
concerned,2
stressed,2
passed,2
defence,2
allowed,2
goes,2
declined,2
ignored,2
unit,2
intervene,2
concerns,2
march,2
increased,2
refer,2
dissolved,2
consider,2
detailing,2
prevented,2
governorates,2
supported,2
release,2
law,2
handed,2
biased,2
causing,2
restructure,2
expose,2
witnessed,2
Commenting,2
implementing,2
implement,2
tarnish,2
proceeded,2
approved,2
complained,2
highlighted,2
use,2
running,2
police,2
stamped,2
asking,2
depict,2
voicing,2
document,2
end,2
involved,2
observed,2
after,2
missing,2
leave,2
quoted,2
urinating,2
live,2
aims,2
form,2
labeling,2
continuing,2
keep,2
living,2
honouring,2
attempting,2
requesting,2
issue,2
giving,2
titled,2
applied,2
follow,2
exceeded,2
affect,2
registered,2
of,2
having,2
present,2
refusing,2
Supporting,2
manager,2
create,2
investigation,2
focus,2
comprises,2
establish,2
stipulates,2
meet,2
toppled,2
speaking,2
enter,2
expects,2
team,2
deprives,2
makes,2
receive,2
officer,2
changed,2
recounted,2
revealed,2
alleged,2
protect,2
serves,2
getting,2
enables,2
worked,2
specify,2
honor,1
researcher,1
experiencing,1
controls,1
watchdog,1
presenting,1
amend,1
remove,1
privacy,1
grow,1
acting,1
scheduled,1
judged,1
demonstrations,1
sectarianism,1
shared,1
principles,1
describes,1
Be,1
integrates,1
collected,1
vigilance,1
ceded,1
striving,1
happening,1
over,1
sanctioned,1
coordinate,1
investigating,1
reflected,1
shouldn,1
blacklisted,1
withdrew,1
tied,1
regaining,1
appealed,1
believed,1
affiliated,1
conducted,1
believes,1
absented,1
contesting,1
speaks,1
abandon,1
defame,1
reinforcing,1
write,1
coordinator,1
considering,1
identified,1
tell,1
manipulating,1
starting,1
linked,1
insult,1
retry,1
disrupting,1
don,1
located,1
blaming,1
describe,1
sought,1
internet,1
freezing,1
donate,1
co-signed,1
questioned,1
deserve,1
ascertain,1
looked,1
votes,1
stolen,1
offered,1
comes,1
believing,1
bound,1
spearheading,1
suppressing,1
contrasted,1
painted,1
afforded,1
dealt,1
reached,1
extraditing,1
process,1
draw,1
draft,1
modified,1
discovering,1
defense,1
harm,1
female,1
deemed,1
mishandling,1
absence,1
resolve,1
tried,1
reinforced,1
something,1
protecting,1
toughens,1
muted,1
solving,1
upholding,1
hired,1
unleash,1
priorities,1
supports,1
insisted,1
other,1
regulating,1
restricting,1
gained,1
money,1
approached,1
amending,1
modifying,1
health,1
incriminates,1
derailing,1
breeding,1
martyrs,1
seeking,1
concerning,1
nationalise,1
guarding,1
plenty,1
join,1
continues,1
denounces,1
body,1
counted,1
efforts,1
apply,1
allow,1
decrease,1
achieve,1
business,1
allocated,1
annul,1
restricted,1
label,1
forged,1
fulfil,1
totaling,1
easing,1
In,1
collaboration,1
week,1
participate,1
circumvented,1
granting,1
deploy,1
limit,1
moved,1
restore,1
perpetuated,1
condemn,1
defend,1
mingling,1
protesting,1
comments,1
access,1
Seeking,1
dispersing,1
legalized,1
Investigating,1
movements,1
executive,1
refrain,1
dropped,1
healthcare,1
ll,1
fielded,1
sold,1
plagued,1
broken,1
verify,1
until,1
prosecute,1
lost,1
marred,1
recommending,1
upgrading,1
falling,1
reporters,1
fine,1
deficit,1
interrelating,1
belong,1
excluding,1
specified,1
revolt,1
vote,1
contemplate,1
skewed,1
biologic,1
encourage,1
showed,1
abided,1
try,1
asserted,1
wasn,1
sided,1
parliamentary,1
resort,1
links,1
operating,1
opposes,1
downtown,1
escalate,1
smear,1
deeming,1
sign,1
endangers,1
involve,1
pending,1
considers,1
doing,1
indicating,1
squandering,1
gain,1
resubmitted,1
coal,1
proposed,1
suspended,1
went,1
wanted,1
represents,1
returning,1
think,1
participating,1
posted,1
fled,1
violating,1
ignore,1
such,1
show,1
shot,1
prosecuting,1
strengthen,1
destroyed,1
shaped,1
raping,1
emerged,1
attempted,1
open,1
occurred,1
ve,1
suspected,1
privatized,1
extending,1
bandwidth,1
remarks,1
programme,1
eliminate,1
disturbed,1
sponsored,1
dispute,1
underlined,1
argue,1
expended,1
verdict,1
sway,1
Putting,1
incorporates,1
placed,1
withdraw,1
objected,1
transfer,1
recognizing,1
chambers,1
entail,1
utilize,1
stigmatize,1
read,1
passes,1
facilitate,1
led,1
campaigning,1
address,1
nobody,1
addressed,1
into,1
impact,1
contributes,1
clothes,1
acted,1
blocked,1
liked,1
prepare,1
organize,1
served,1
evict,1
hatred,1
allows,1
contacted,1
Defending,1
half,1
inheriting,1
discussed,1
coverage,1
transporting,1
Regarding,1
tackled,1
dictatorship,1
appalled,1
filing,1
announcing,1
adhering,1
build,1
key,1
sentiment,1
gone,1
detailed,1
strike,1
hosted,1
awareness,1
opened,1
stood,1
deteriorate,1
controlling,1
shaping,1
elucidate,1
boycotting,1
office,1
means,1
denouncing,1
meant,1
Established,1
distributed,1
regards,1
resumed,1
express,1
demonstrating,1
remain,1
admitted,1
mean,1
interfering,1
beat,1
relieve,1
sentence,1
pressure,1
smuggling,1
removed,1
suspend,1
disband,1
remember,1
reviews,1
defining,1
gets,1
repeat,1
impede,1
allowing,1
warning,1
securing,1
burnt,1
discredit,1
succeeding,1
immigration,1
imposed,1
revised,1
comparing,1
percent,1
keeps,1
labelled,1
state-owned,1
democracy,1
pose,1
responsibility,1
am,1
expect,1
by,1
cooperate,1
make,1
suffer,1
determine,1
protesters,1
defending,1
needs,1
disappointed,1
adherents,1
lodged,1
coordinating,1
inherited,1
than,1
carry,1
compared,1
challenged,1
influence,1
offer,1
detain,1
cast,1
appealing,1
failed,1
prompting,1
disbanded,1
tax,1
criminalizing,1
harmed,1
supervising,1
refraining,1
resume,1
system,1
face,1
gathered,1
continue,1
destined,1
organization,1
burning,1
injure,1
adjourned,1
betting,1
assigned,1
elaborated,1
accepting,1
satellite,1
exploited,1
produced,1
counting,1
guaranteeing,1
backed,1
hide,1
exclude,1
offering,1
accepted,1
provided,1
publish,1
deny,1
alarmed,1
anyone,1
obligates,1
expanding,1
unite,1
perspective,1
faced,1
wouldn,1
surround,1
done,1
committing,1
became,1
aim,1
lead,1
punished,1
look,1
state,1
announcement,1
website,1
oversee,1
retrieved,1
initiate,1
video,1
appointment,1
arresting,1
Said,1
lacking,1
haven,1
maintained,1
pricing,1
leads,1
Assisting,1
switch,1
withdrawing,1
govern,1
receiving,1
informed,1
hanged,1
boycotted,1
joining,1
pardon,1
overturned,1
persisted,1
coalition,1
aren,1
existing,1
translates,1
discussing,1
evident,1
gather,1
benefit,1
amendments,1
terrify,1
documenting,1
welcoming,1
strict,1
comfort,1
characterized,1
particular,1
work,1
attack,1
punish,1
cites,1
helps,1
looking,1
subject,1
organizing,1
t,1
intends,1
school,1
averaged,1
deprive,1
dismissed,1
nationalizes,1
Registered,1
assist,1
levelled,1
slammed,1
performed,1
sued,1
questioning,1
outlined,1
managed,1
becoming,1
freedom,1
scaring,1
off,1
debate,1
combating,1
accredited,1
denying,1
institutionalized,1
translate,1
paid,1
review,1
settle,1
waiting,1
ratified,1
treating,1
vowed,1
repel,1
arrest,1
detaining,1
raise,1
sends,1
rebuilding,1
resist,1
capped,1
possessing,1
advocates,1
wear,1
urging,1
threatened,1
appoint,1
piled,1
advocated,1
garner,1
borrowing,1
press,1
out,1
pursues,1
dedicated,1
stipulated,1
barring,1
constituency,1
prosecuted,1
comprised,1
torture,1
signatories,1
gearing,1
fall,1
Anwar,1
facilitated,1
composed,1
defaming,1
remained,1
thugs,1
regime,1
facilitates,1
recover,1
trust,1
let,1
visited,1
supervised,1
