word,frequency
is,336
said,226
are,172
be,154
was,140
have,138
says,133
has,110
’,102
were,85
been,70
had,46
being,35
according,30
including,27
do,24
issued,24
—,22
called,20
want,20
does,19
used,19
held,18
According,18
detained,18
added,18
published,17
did,17
launched,16
protect,16
told,15
seen,14
saying,14
adds,14
made,14
don,14
filed,14
rights,14
work,14
include,13
accused,13
killed,13
signed,12
set,12
get,12
director,12
arrested,12
working,12
take,12
taking,12
following,11
reported,11
explains,11
that,11
come,11
go,11
organized,11
received,11
agreed,11
sent,11
continue,11
came,11
use,11
led,11
found,10
believes,10
started,10
form,10
protest,9
help,9
adding,9
death,9
taken,9
put,9
follow,9
referred,9
forced,8
didn,8
argues,8
need,8
calling,8
formed,8
failed,8
calls,8
create,8
expressed,8
say,8
related,8
submitted,8
live,8
t,8
run,7
establishing,7
died,7
registered,7
dealing,7
elected,7
conducted,7
pay,7
in,7
happened,7
facing,7
killing,7
attacked,7
demanding,7
began,7
keep,7
went,7
trying,7
remains,7
allowed,6
allow,6
translated,6
making,6
movement,6
comes,6
ignored,6
met,6
regarding,6
avoid,6
involved,6
criticized,6
injured,6
receiving,6
claimed,6
remain,6
established,6
oversee,6
referring,6
creating,6
send,6
protecting,6
denied,6
leading,6
of,6
claiming,6
armed,6
wanted,6
took,6
includes,6
described,6
pass,6
giving,6
joined,6
body,6
organizing,5
became,5
handed,5
Said,5
see,5
given,5
dominated,5
brought,5
alleged,5
dismissed,5
if,5
works,5
argued,5
receive,5
using,5
means,5
witnessed,5
allows,5
feared,5
determine,5
allowing,5
fight,5
coming,5
decided,5
erupted,5
power,5
living,5
continued,5
establish,5
become,5
concerned,5
committed,5
on,5
wounded,5
call,5
start,5
thinks,5
drafted,5
based,5
',5
included,5
suspended,5
needs,5
increased,5
changed,5
decision,5
suspects,5
granted,4
tried,4
participate,4
law,4
join,4
lacks,4
suggest,4
provided,4
required,4
revealed,4
discussed,4
ruled,4
as,4
governorates,4
expected,4
holding,4
increasing,4
represent,4
nothing,4
hopes,4
ve,4
serve,4
opposed,4
pressure,4
such,4
exist,4
doing,4
inactive,4
represents,4
believe,4
know,4
support,4
growing,4
asked,4
released,4
targeted,4
sentenced,4
move,4
hiring,4
raised,4
carried,4
appeal,4
show,4
provide,4
spoke,4
prevent,4
causing,4
needed,4
charged,4
appoint,4
saw,4
lead,4
tortured,4
treated,4
labor,4
court,4
government,4
explained,4
part,4
make,4
arrest,4
challenged,4
lost,4
transfer,4
investigate,4
seems,4
aims,4
describes,4
created,4
plan,4
dissolved,4
failing,4
act,4
attempted,4
stay,4
paid,4
restructure,4
demand,4
wants,4
refused,4
rising,4
stood,4
ensure,4
offer,4
investigated,3
finding,3
understand,3
require,3
confronted,3
complained,3
suggesting,3
hope,3
pointed,3
protesting,3
tries,3
beat,3
pertaining,3
punished,3
dubbed,3
sees,3
participating,3
stop,3
health,3
lawyer,3
providing,3
happening,3
prohibits,3
focus,3
requires,3
built,3
tackle,3
ended,3
surrounding,3
father,3
titled,3
at,3
hit,3
prove,3
knows,3
committing,3
pull,3
followed,3
standing,3
expresses,3
belonged,3
restricts,3
places,3
campaigning,3
bring,3
documented,3
workers,3
juvenile,3
staged,3
applied,3
continues,3
rose,3
mixing,3
transferred,3
imam,3
subjected,3
control,3
withdrawing,3
fighting,3
lies,3
give,3
placing,3
passed,3
running,3
affected,3
highlighted,3
inciting,3
state,3
confront,3
regulate,3
starting,3
destroyed,3
starts,3
supported,3
rule,3
defined,3
represented,3
ranging,3
concerning,3
replaced,3
shows,3
informed,3
attempting,3
addressing,3
fired,3
agrees,3
begun,3
implicated,3
restrict,3
