word,frequency
said,105
is,101
was,41
says,40
are,35
were,34
be,33
has,25
’,24
have,23
been,16
according,16
had,16
director,12
filed,11
including,11
issued,11
being,10
rights,10
published,9
detained,8
signed,8
submitted,7
held,6
saying,6
used,6
called,6
include,6
According,6
calling,6
making,5
reported,5
related,5
of,5
thinks,5
get,5
launched,5
killing,5
Said,4
killed,4
help,4
received,4
working,4
denied,4
represent,4
added,4
sent,4
investigate,4
argues,4
criticized,4
attacked,4
does,3
works,3
organized,3
allow,3
sees,3
lawyer,3
do,3
agrees,3
revealed,3
following,3
needed,3
committed,3
death,3
call,3
hold,3
attended,3
explains,3
regarding,3
brought,3
appeal,3
protect,3
use,3
based,3
includes,3
happened,3
drafted,3
described,3
describes,3
came,3
pass,3
facing,3
re,3
live,3
asked,3
hosted,3
form,3
organization,3
accused,3
made,3
monitored,2
urging,2
starts,2
demanding,2
raises,2
participate,2
pointed,2
arguing,2
meant,2
means,2
defined,2
violating,2
lack,2
began,2
pull,2
establishing,2
seen,2
conducted,2
policing,2
died,2
follows,2
asking,2
calls,2
addressing,2
handed,2
serving,2
restrict,2
create,2
see,2
gives,2
joined,2
movement,2
titled,2
at,2
governments,2
adding,2
governorates,2
recognize,2
prosecute,2
tackled,2
visited,2
Compare,2
run,2
prove,2
wounded,2
rule,2
take,2
ignored,2
formed,2
spoke,2
met,2
wanted,2
court,2
alleged,2
took,2
believes,2
using,2
pay,2
such,2
expressed,2
officer,2
allowed,2
kill,2
supported,2
cast,2
doing,2
addressed,2
argued,2
serve,2
avoid,2
freedom,2
documented,2
campaign,2
told,2
praised,2
come,2
failing,2
founded,2
injured,2
authority,2
decision,2
regards,2
demand,2
did,2
—,2
targeted,2
suggests,2
work,2
fighting,2
referred,2
tell,2
concluded,1
violate,1
highlighted,1
investigated,1
renders,1
welcomed,1
inability,1
compounded,1
wrote,1
humiliating,1
inciting,1
fight,1
economic,1
like,1
coming,1
counting,1
convinced,1
voiced,1
Many,1
wondered,1
confront,1
underestimated,1
Speaking,1
worries,1
rulers,1
promote,1
requesting,1
suspends,1
lead,1
erupted,1
suggested,1
regulate,1
decides,1
invalidate,1
gathered,1
starting,1
agenda,1
remain,1
revolution,1
declined,1
disqualify,1
funded,1
disposed,1
giving,1
abducted,1
sexual,1
don,1
assuming,1
exceed,1
linked,1
evict,1
established,1
adequate,1
showing,1
interviewed,1
started,1
friends,1
drill,1
union,1
living,1
finding,1
demonstrate,1
understand,1
