word,frequency
be,610
been,456
have,128
that,105
arrested,98
take,94
detained,84
released,79
in,68
held,64
taken,64
made,61
killed,60
filed,56
set,56
get,53
injured,49
attacked,48
used,47
called,47
accused,46
vote,45
see,43
make,42
do,41
tried,41
involved,41
protect,39
investigate,39
such,38
of,38
as,38
beaten,37
charged,37
ensure,37
issued,35
find,35
expected,35
known,34
given,34
allow,34
announced,33
leave,33
allowed,33
give,33
put,33
elected,33
seen,32
become,32
go,30
bring,29
armed,29
work,29
continue,28
forced,27
formed,27
left,27
reported,26
insulting,26
tortured,26
on,26
stated,26
led,26
sentenced,26
stop,26
help,25
was,25
provide,25
published,24
subjected,24
governorate,24
live,24
come,23
committed,23
start,23
investigated,22
told,22
use,22
planned,22
had,21
fired,21
documented,21
failed,20
prevent,20
conducted,20
for,20
if,20
ousted,20
referred,20
increased,19
pay,19
cast,19
remain,19
were,19
protest,19
passed,19
denied,18
brought,18
found,18
end,17
change,17
based,17
blocked,17
received,17
done,17
related,17
reached,17
organised,16
sold,16
said,16
refused,16
witnessed,16
say,16
assaulted,16
threatened,16
form,16
keep,16
tear,16
broken,16
described,16
return,16
discuss,15
avoid,15
speak,15
banned,15
follow,15
followed,15
proposed,15
disperse,15
secure,15
established,15
alleged,15
appointed,15
defend,14
hold,14
break,14
covered,14
support,14
caught,14
attend,14
know,14
changed,14
lost,14
infected,13
amended,13
receive,13
beat,13
launched,13
built,13
appeal,13
face,13
monitor,13
call,13
presented,13
punished,13
out,13
happened,13
convicted,13
n,13
open,13
submitted,13
look,13
try,12
attack,12
concerned,12
achieved,12
suspended,12
create,12
included,12
win,12
stripped,12
stand,12
military,12
launch,12
address,12
death,12
surrounded,12
achieve,12
identify,12
carried,12
include,12
believe,12
run,12
prosecute,12
let,12
participate,12
dragged,11
identified,11
tell,11
lead,11
entitled,11
needed,11
raped,11
at,11
’,11
shut,11
prepared,11
control,11
draft,11
scared,11
died,11
targeted,11
listed,11
talk,11
t,11
faced,11
reveal,11
shown,11
acquitted,11
perceived,10
stolen,10
written,10
aimed,10
join,10
deployed,10
paid,10
considered,10
associated,10
push,10
heard,10
transferred,10
reviewed,10
opposed,10
met,10
owned,10
intervene,10
summoned,10
date,10
cover,10
close,10
demand,10
registered,10
up,10
dispersed,10
started,10
operate,10
choose,9
condemned,9
created,9
ordered,9
implemented,9
mentioned,9
turn,9
raised,9
arrest,9
establish,9
compared,9
discussed,9
promote,9
evict,9
ignored,9
offered,9
headed,9
increase,9
convinced,9
order,9
read,9
carry,9
expressed,9
reject,9
prove,9
punish,9
treated,9
want,9
dominated,8
marked,8
improve,8
chosen,8
stopped,8
cancelled,8
because,8
refer,8
before,8
destroyed,8
contacted,8
trial,8
fight,8
ask,8
encourage,8
wounded,8
hear,8
directed,8
caused,8
virginity,8
mention,8
titled,8
imprisoned,8
provided,8
force,8
destroy,8
stay,8
reform,8
dissolved,8
whether,7
abused,7
move,7
enforced,7
biased,7
file,7
parked,7
justice,7
impose,7
mean,7
represented,7
contain,7
raise,7
show,7
scheduled,7
send,7
produced,7
divided,7
regulate,7
raided,7
criticised,7
removed,7
adopted,7
kidnapped,7
interviewed,7
by,7
Many,7
serve,7
tasked,7
life,7
reach,7
begin,7
continued,7
joined,7
promoted,7
issue,7
tackle,7
enter,7
perform,7
deal,7
defined,7
granted,7
report,7
describe,7
appear,6
estimated,6
closed,6
practiced,6
isolated,6
revealed,6
laid,6
anticipated,6
veiled,6
thrown,6
prosecuted,6
represent,6
appoint,6
power,6
monitored,6
toppled,6
kept,6
located,6
Egyptian,6
listen,6
placed,6
block,6
accept,6
allocated,6
seem,6
introduced,6
influence,6
believed,6
initiated,6
summon,6
guarantee,6
realise,6
worried,6
finish,6
deliver,6
addressed,6
approved,6
protected,6
extended,6
recorded,6
voice,6
court,6
required,6
freedom,6
please,6
meet,6
contradict,6
signed,6
enforce,6
turned,6
suffered,6
match,6
handed,6
fulfilled,6
like,6
happen,6
politicised,6
develop,6
remove,6
promised,6
named,6
reformed,6
obtained,6
postponed,6
feel,6
police,6
watch,5
appeared,5
decided,5
decide,5
hired,5
electrocuted,5
respond,5
voted,5
compensate,5
experienced,5
suspected,5
murdered,5
demonstrated,5
maintain,5
ended,5
focus,5
resulted,5
challenge,5
collected,5
Article,5
release,5
responded,5
affected,5
demanded,5
accepted,5
introduce,5
build,5
informed,5
while,5
handled,5
supposed,5
arrived,5
die,5
suggested,5
withdraw,5
humiliate,5
affiliated,5
drafted,5
torn,5
storm,5
local,5
sparked,5
subject,5
stipulated,5
explain,5
into,5
human,5
clarified,5
fallen,5
replaced,5
play,5
head,5
are,5
oversee,5
combined,5
applied,5
prevented,5
public,5
ban,5
halt,5
entered,5
previous,5
many,5
married,5
imposed,5
risk,5
light,5
attempted,5
determined,5
obtain,5
exceed,5
blame,5
trained,5
repeated,5
implement,5
accumulated,5
confirmed,5
supported,5
until,5
viewed,5
apply,5
demonstrate,5
As,5
counter,5
save,5
pushed,5
high,5
cut,4
licensed,4
cancel,4
implicated,4
confiscated,4
Several,4
appealed,4
finished,4
various,4
examined,4
enjoy,4
undermine,4
facilitate,4
administered,4
jailed,4
driven,4
dropped,4
triggered,4
overthrown,4
gather,4
scare,4
performed,4
pull,4
transfer,4
distinguished,4
act,4
state,4
locate,4
announce,4
assume,4
slain,4
sent,4
engaged,4
restricted,4
buy,4
Given,4
agreed,4
detailed,4
escalated,4
uphold,4
cooperate,4
prepare,4
damaged,4
asked,4
private,4
part,4
intimidate,4
view,4
fix,4
adopt,4
confirm,4
sit,4
pardoned,4
agree,4
engage,4
specified,4
undergo,4
contributed,4
express,4
specify,4
violate,4
ignore,4
questioned,4
several,4
confused,4
security,4
afford,4
cited,4
account,4
add,4
served,4
worship,4
healthcare,4
determine,4
Such,4
ratified,4
claimed,4
distributed,4
voiced,4
opened,4
lose,4
shoulder,4
corruption,4
drawn,4
garner,4
resign,4
interrogate,4
dissolve,4
limit,4
contribute,4
resolve,4
linked,4
conduct,4
accuse,4
learn,4
about,4
fail,4
foreign,4
controlled,4
strip,4
revised,4
focused,4
reduce,4
condemn,4
exposed,4
frustrated,4
exist,4
stick,4
amend,4
mobbed,4
emerged,3
excluded,3
denounce,3
lodged,3
grant,3
restore,3
pledged,3
restrict,3
present,3
improved,3
hope,3
review,3
assumed,3
require,3
rushed,3
ruled,3
specialised,3
pursue,3
looted,3
propagated,3
trapped,3
quell,3
lifted,3
article,3
tarnish,3
free,3
heated,3
predict,3
fed,3
register,3
further,3
refuse,3
through,3
polling,3
praised,3
think,3
solved,3
burnt,3
wait,3
stormed,3
counted,3
assess,3
retired,3
supervise,3
renewed,3
object,3
understand,3
retried,3
attended,3
enable,3
noted,3
freed,3
permit,3
invited,3
settle,3
approve,3
threaten,3
centralised,3
shot,3
depend,3
produce,3
comment,3
seek,3
devoted,3
gain,3
step,3
fulfill,3
testify,3
respect,3
added,3
escape,3
observe,3
contact,3
developed,3
attract,3
completed,3
hit,3
argue,3
tested,3
shocked,3
combat,3
played,3
occur,3
decentralised,3
programme,3
result,3
united,3
sleep,3
consulted,3
won,3
need,3
battle,3
international,3
confronted,3
deposed,3
packed,3
abide,3
complicated,3
uncovered,3
attempt,3
founded,3
divorced,3
erected,3
don,3
deemed,3
collect,3
succeed,3
marginalised,3
retrieve,3
damage,3
place,3
tailored,3
intended,3
gathered,3
fall,3
train,3
authorised,3
unite,3
interrogated,3
hospital,3
leaked,3
accountable,3
pursued,3
walk,3
obey,3
declared,3
indicate,3
photographed,3
boost,3
parliament,3
reflect,3
suffer,3
While,3
quash,3
operated,3
welcomed,3
cause,3
escalate,3
returned,3
dubbed,3
backed,3
access,3
satisfied,3
pressed,3
expect,3
around,3
other,3
aired,3
mount,3
reserved,3
advise,3
double,3
If,3
justify,3
examine,3
recognise,3
drive,3
commit,3
dealt,3
incitement,3
helped,3
detain,3
after,3
trust,3
document,3
kill,3
oppose,3
infect,3
health,3
child,3
clamp,3
march,3
suppress,3
torture,3
inform,3
indicted,3
terrified,3
rejected,3
acted,3
disclose,3
behind,3
dressed,3
violated,3
wipe,3
since,3
lawyer,2
regarded,2
shattered,2
wield,2
purge,2
gone,2
press,2
perceive,2
crippled,2
posted,2
endowed,2
televised,2
backfire,2
stamped,2
resorted,2
felt,2
traffic,2
portrayed,2
snatched,2
blamed,2
vested,2
saved,2
abolish,2
consider,2
declare,2
dated,2
got,2
dress,2
encouraged,2
erupted,2
reversed,2
grown,2
rebuilt,2
remained,2
submit,2
succeeded,2
deny,2
levelled,2
mourn,2
apportioned,2
prompted,2
curb,2
quoted,2
modified,2
undergone,2
featured,2
convince,2
spoken,2
evacuate,2
forbidden,2
educated,2
stigmatised,2
cross-examine,2
against,2
Renowned,2
dismissed,2
composed,2
acknowledge,2
mandated,2
comply,2
Stop,2
cooled,2
assist,2
plagued,2
visit,2
spearhead,2
inside,2
lie,2
manipulate,2
cleared,2
early,2
shaken,2
bear,2
curtailed,2
urge,2
assure,2
designed,2
compromised,2
redeploy,2
celebrate,2
eliminate,2
camped,2
interfere,2
authorized,2
realised,2
screened,2
new,2
robbed,2
stress,2
violence,2
conform,2
maintained,2
clean,2
investigation,2
clear,2
respected,2
stabbed,2
entrenched,2
advised,2
clashed,2
endorse,2
commented,2
burned,2
ranged,2
occurred,2
safeguard,2
pressure,2
overlooked,2
pass,2
contested,2
religious,2
purged,2
delayed,2
crowded,2
reprimanded,2
staged,2
tackled,2
stage,2
coordinate,2
repressed,2
began,2
grow,2
tailor,2
war,2
utilised,2
amounted,2
renationalise,2
information,2
privatised,2
hire,2
own,2
limited,2
trumped,2
marred,2
experience,2
qualified,2
flee,2
attain,2
monitoring,2
acknowledged,2
extract,2
strike,2
over,2
demolish,2
hoped,2
criticise,2
fit,2
reassure,2
publish,2
obstruct,2
blown,2
pulled,2
wide-spread,2
vowed,2
decry,2
updated,2
reputed,2
resume,2
hospitalized,2
terrorise,2
civilian,2
demolished,2
target,2
hinder,2
criminal,2
sectarian,2
wrapped,2
bolster,2
agitated,2
check,2
disappeared,2
fire,2
legal,2
due,2
complete,2
clarify,2
torched,2
serious,2
estimate,2
empowered,2
grabbed,2
eyewitness,2
sexual,2
testified,2
handcuffed,2
participated,2
resolved,2
retained,2
sustained,2
tied,2
Said,2
elect,2
oriented,2
bow,2
reduced,2
history,2
denounced,2
applause,2
permitted,2
restructure,2
remember,2
investigative,2
offering,2
existed,2
rule,2
commemorate,2
influenced,2
stepped,2
honour,2
brutalised,2
perpetuate,2
persuade,2
spotted,2
restructured,2
conned,2
barred,2
worked,2
disappointed,2
study,2
bother,2
recognize,2
conceal,2
manage,2
expose,2
discourage,2
approach,2
compete,2
recognised,2
offer,2
impunity,2
silenced,2
gun,2
emergency,2
misguide,2
trigger,2
excuse,2
separated,2
subdued,2
replace,2
Based,2
off,2
Print,2
tabled,2
chant,2
kick,2
shed,2
fixed,2
–,2
abducted,2
congregated,2
bought,2
touch,2
intend,2
arrive,2
born,2
kicked,2
prohibited,2
upset,2
divorce,2
administrative,2
didn,2
Let,2
enhance,2
smashed,2
spearheaded,2
sued,2
re-establish,2
hijacked,2
civil,2
housing,2
grinded,2
prolonged,2
falsified,2
fought,2
coincide,2
relate,2
exiled,2
sabotage,2
treatment,2
invested,2
extend,2
boycott,2
selected,2
search,2
despite,2
jeopardise,2
surprised,2
converge,2
finalize,2
unveiled,2
day,2
circulated,2
harassed,2
share,2
locked,2
speed,2
accompanied,2
mugged,2
spent,2
sidelined,2
ratify,2
visited,2
searched,2
girl,2
designated,2
suspend,2
hand,2
diagnosed,2
disregarded,2
humiliated,2
social,2
deter,2
justified,2
angered,2
although,2
shared,2
trusted,2
dared,1
repulsed,1
urged,1
hurt,1
suffocate,1
pour,1
dialogue,1
lauded,1
unleash,1
argued,1
explode,1
overworked,1
convened,1
mix,1
congratulate,1
boot,1
evacuated,1
coded,1
eed,1
abort,1
hinted,1
ongoing,1
guard,1
studied,1
conceive,1
answer,1
generate,1
accessed,1
modelled,1
varied,1
treat,1
smashing,1
preach,1
sub-committee,1
crack,1
undertake,1
criminalise,1
condoned,1
processed,1
interrogation,1
aged,1
cow,1
criminalize,1
home,1
picked,1
balance,1
dare,1
investigation.At,1
distended,1
doesn,1
eat,1
combine,1
obvious,1
cave-in,1
flat,1
orchestrated,1
filled,1
symbolise,1
grumble,1
drop,1
relaxed,1
dismiss,1
scrutinised,1
smother,1
underpinned,1
leveled,1
inaugurated,1
fetishised,1
construct,1
honoured,1
broke,1
filmmaker,1
coaxed,1
silence,1
unconstitutional,1
air,1
highlighted,1
disagree,1
missed,1
retake,1
cling,1
kiss,1
pronounced,1
occupy,1
seized,1
transform,1
neglected,1
slip,1
raid,1
deported,1
indecent,1
overthrow,1
disrupt,1
bothered,1
pitch,1
rely,1
peaceful,1
positioned,1
institutionalised,1
Please,1
equipped,1
embark,1
during,1
coerce,1
prohibit,1
requested,1
sit-in,1
obliged,1
display,1
switched,1
repeal,1
relinquish,1
capture,1
alongside,1
slam,1
centred,1
refrain,1
deserted,1
anything,1
contest,1
engulfed,1
fueled,1
incarcerated,1
Cut,1
instructed,1
compounded,1
consolidated,1
jump,1
apprehend,1
prodded,1
aggravated,1
mixed,1
throw,1
strive,1
unsurprisingly,1
decorated,1
rocked,1
heralded,1
aggrieved,1
contained,1
repelled,1
replied,1
sift,1
constructed,1
Required,1
connect,1
be…,1
pick,1
suggest,1
extreme,1
disciplined,1
risen,1
dedicated,1
shame,1
appalled,1
member,1
assessed,1
Asked,1
surged,1
Prompted,1
transmit,1
Reminiscent,1
stem,1
deem,1
shove,1
proceed,1
preliminary,1
overturned,1
accommodate,1
revitalise,1
arraigned,1
connected,1
exploited,1
admitted,1
retracted,1
reinforced,1
opt,1
sort,1
volunteer,1
gained,1
imagined,1
understood,1
worded,1
retract,1
tarnished,1
particular,1
blighted,1
inspected,1
wrong,1
hindered,1
wrestle,1
banded,1
distract,1
modify,1
merged,1
name,1
earmarked,1
dismantled,1
reality,1
co-exist,1
Imagine,1
surpassed,1
Sell,1
incite,1
incited,1
filter,1
echo,1
supervised,1
hosted,1
galvanised,1
Raise,1
desist,1
altered,1
elicited,1
overslept,1
imply,1
chaired,1
dampened,1
shelve,1
deprived,1
labour,1
eradicated,1
outline,1
ejaculated,1
final,1
overturn,1
arisen,1
unmerciful,1
recieve,1
circumvented,1
stuck,1
garnered,1
distorted,1
polarised,1
advanced,1
afforded,1
said.At,1
reunited,1
rebound,1
proliferated,1
detect,1
discrimination,1
distribute,1
invoked,1
twisted,1
slammed,1
freeze,1
rallied,1
staggered,1
enact,1
exacerbate,1
online,1
ransacked,1
cultivated,1
shoot,1
reassess,1
sexualised,1
lambasted,1
knocked,1
formulate,1
employed,1
regard,1
Call,1
overhaul,1
ultil,1
Forced,1
remind,1
encountered,1
amputated,1
encapsulated,1
void,1
today,1
shelved,1
rented,1
runoff,1
transmitted,1
democracy,1
extra-legal,1
indentify,1
sympathy,1
funded,1
assured,1
foster,1
overcome,1
dashed,1
disprove,1
declined,1
interact,1
hide,1
riddled,1
corrected,1
Used,1
folded,1
Keep,1
canceled,1
distanced,1
suited,1
translate,1
disbanded,1
savour,1
preoccupied,1
total,1
process,1
defeat,1
came,1
Written,1
Remember,1
contracted,1
competence,1
upon,1
sacrificed,1
scrap,1
overview,1
bent,1
engineered,1
wrap,1
climb,1
abuse,1
toughened,1
interior,1
trashed,1
spoil,1
discredit,1
caged,1
situated,1
armoured,1
undermined,1
legitimise,1
uploaded,1
across,1
sure,1
reverse,1
infiltrated,1
question,1
printed,1
independent,1
reconcile,1
censorship,1
haunt,1
redistribute,1
Toppled,1
predicted,1
render,1
Understood,1
interview,1
took,1
glutted,1
screen,1
rally,1
disqualify,1
plunged,1
wish,1
enshrined,1
empower,1
inaugurate,1
empty,1
assault,1
highlight,1
Bite,1
benefit,1
reflected,1
sway,1
recommend,1
exert,1
organise,1
trade,1
pose,1
reconsider,1
involuntary,1
brave,1
displaced,1
delay,1
lack,1
shout,1
sack,1
pump,1
financial,1
practice,1
host,1
strengthened,1
greeted,1
inhibited,1
retain,1
uttered,1
rigged,1
checked,1
negotiated,1
gassed,1
amount,1
sought,1
debated,1
surgery,1
contaminated,1
regular,1
nullify,1
Since,1
mooted,1
excited,1
explained,1
pave,1
witnesses.Since,1
marry,1
interpret,1
disarm,1
satisfy,1
bridge,1
adjourned,1
governed,1
tinged,1
moved,1
reassured,1
dwindled,1
cry,1
cultivate,1
surpass,1
lived,1
insure,1
stifle,1
