word,frequency
military,148
human,50
sexual,33
Egyptian,29
such,19
civilian,17
other,17
first,17
legal,14
new,13
political,13
public,12
clear,11
civil,10
independent,10
female,9
same,9
international,8
criminal,8
serious,8
several,8
interior,7
only,7
executive,7
next,6
administrative,6
second,6
last,6
many,6
penal,5
sectarian,5
different,5
peaceful,5
general,5
recent,5
physical,5
excessive,5
similar,4
present,4
said.The,4
separate,4
religious,4
leftist,4
few,4
real,4
major,4
not,4
high,4
routine,3
domestic,3
electoral,3
entire,3
full,3
al-Adly,3
able,3
actual,3
necessary,3
Other,3
little,3
past,3
psychological,3
various,3
joint,3
inconsistent,3
old,3
much,3
possible,3
basic,3
minimum,3
early,3
former,3
previous,3
presidential,3
key,2
severe,2
unarmed,2
ongoing,2
investigative,2
specific,2
informal,2
large,2
preliminary,2
horrific,2
following,2
common,2
formal,2
dark,2
dead,2
two-year,2
impartial,2
due,2
private,2
unacceptable,2
great,2
medical,2
subsequent,2
certain,2
judicial,2
armored,2
significant,2
current,2
credible,2
harsh,2
Rights,2
verbal,2
immediate,2
national,2
short,2
start,2
34-year-old,2
foreign,2
al-Sisi,2
mobile,2
whole,2
French,2
direct,2
collective,2
single,2
further,2
immoral,2
one-year,2
inhuman,2
indirect,2
degrading,2
young,2
exact,2
illegal,2
normal,2
male,2
post-revolution,2
unprecedented,2
eastn-africa/egypt,2
popular,2
cruel,2
official,2
discriminatory,2
legitimate,2
violent,2
parliamentary,2
deep,2
social,2
personal,2
main,2
30-year,2
intolerable,1
militant,1
systematic,1
worth,1
brutal,1
permit.Some,1
annual,1
British,1
semi-organised,1
invisible,1
legislation.The,1
dangerous,1
demonstrators.Military,1
crucial,1
comprehensive,1
al-Dakrour,1
effective,1
dazed,1
accountable,1
hostile,1
modern,1
non-discriminatory,1
widely-misused,1
abusive,1
directorates...[and]...the,1
available,1
vulnerable,1
streets.But,1
Virginity,1
lewd,1
sentences.But,1
al-Zaqaziq,1
controversial,1
often,1
underway,1
overall,1
proportionate,1
Asian,1
easy,1
motionless,1
pro-democracy,1
point.I,1
unpunished,1
difficult,1
own,1
buried.The,1
good,1
original,1
strong,1
coercive,1
ready,1
eighth,1
low,1
al-Ruweiny,1
limited,1
help,1
week-long,1
central,1
promising,1
uncomfortable,1
mostly,1
total,1
incidents.The,1
internal,1
cultural,1
gross,1
passive,1
initial,1
contrary,1
usually,1
blind-sided,1
honorable,1
call,1
beige,1
adjacent,1
lawful,1
unpunished.An,1
unable,1
al-Moneim,1
never,1
Next,1
compatible,1
influential,1
wooden,1
intentional,1
Coercive,1
primary,1
Many,1
violated.Later,1
Political,1
adamant,1
criminalized,1
anti-privatisation,1
economic,1
legislative,1
secret,1
explicitly,1
senior,1
prosecutor-general,1
just,1
appropriate,1
foreign-funding,1
Last,1
18th,1
Military,1
humiliating,1
additional,1
admissible,1
socialist,1
low-ranking,1
gynecological,1
standard,1
stiff,1
lengthy,1
al-Fekria,1
violations.In,1
present.Hassan,1
lower-ranked,1
institutional,1
live,1
Local,1
28-year-old,1
small,1
trials.Hossam,1
periodic,1
Human,1
al-Qubba,1
footage.At,1
unfair,1
long-term,1
African,1
therefore,1
southern,1
opposite,1
concluded.Consistent,1
ill-treatment,1
correct,1
definitively,1
civilian-led,1
transitional,1
concrete,1
bodily,1
likely,1
unified,1
20-year-old,1
minimal,1
Armored,1
sick,1
unavoidable,1
27-year-old,1
Deliberate,1
launch,1
still,1
so-called,1
finally,1
special,1
Drop,1
high-profile,1
disproportionate,1
25-year-old,1
repressive,1
hard,1
broad-based,1
electric,1
forensic,1
financial,1
terrifying,1
industrial,1
al-Morsi,1
clothes.Under,1
responsible,1
competent,1
countless,1
last-minute,1
temporary,1
unlicensed,1
also,1
recognizable,1
patriarchal,1
improperly-acquired,1
appealing,1
defunct,1
15-minute,1
disciplinary,1
regular,1
successful,1
unsafe,1
ordinary,1
deceased,1
teenage,1
al-Arish,1
prime,1
fundamental,1
Sectarian,1
20th,1
potential,1
constitutional,1
large-scale,1
bad,1
self-defense.The,1
Such,1
ultimate,1
culpable,1
protest-related,1
prominent,1
monthly,1
prestigious,1
invasive,1
growing,1
painful,1
associate,1
autocratic,1
filed.Although,1
Current,1
unrelated,1
heavy,1
weak,1
fifth,1
relevant,1
fourth,1
them.Ibrahim,1
dirty,1
Lead,1
upper,1
median,1
non-profit,1
nongovernmental,1
tests.Gen,1
oppressive,1
consequent,1
frightening,1
applicable,1
flawed,1
final,1
