word,frequency
was,98
is,86
had,80
said,72
has,70
were,65
have,64
are,58
be,58
been,48
told,43
filed,24
including,19
says,18
did,18
investigate,16
being,16
’,15
working,14
testified,13
do,13
in,13
According,12
issued,12
taken,12
that,12
failed,11
arrested,11
',11
according,10
conducted,10
take,10
included,10
took,10
made,10
confirmed,10
lawyer,9
beating,9
subjected,9
documented,9
happened,9
killed,9
sentenced,9
committed,9
trying,9
–,9
started,9
charged,9
released,8
published,8
stated,8
governorate,8
asked,8
allow,8
identify,7
punished,7
wanted,7
summoned,7
held,7
leave,7
described,7
added,7
want,7
such,7
following,6
see,6
protect,6
insulting,6
armed,6
asking,6
condemned,6
allowed,6
intervene,6
ordered,6
refused,6
detained,6
beat,6
involved,6
using,6
punish,6
came,6
up,6
called,6
trial,6
vote,6
does,6
tried,6
prosecute,6
blocked,5
used,5
attacked,5
stood,5
saying,5
control,5
contesting,5
on,5
court,5
please,5
referred,5
established,5
includes,5
alleged,5
building,5
found,5
get,5
raped,5
taking,5
formed,5
reported,5
surrounded,4
identified,4
announced,4
led,4
managed,4
denied,4
based,4
reporting,4
stopped,4
carried,4
failure,4
include,4
attack,4
registered,4
died,4
occurred,4
launched,4
kicking,4
interviewed,4
interrogate,4
involving,4
go,4
seen,4
come,4
as,4
put,4
caught,4
assaulted,4
regarding,4
provide,4
summon,4
ensure,4
return,4
making,3
appeared,3
try,3
rights,3
standing,3
increased,3
living,3
amended,3
don,3
ordering,3
veiled,3
tortured,3
shown,3
play,3
examined,3
decision,3
exists,3
argued,3
showed,3
attacking,3
serving,3
investigated,3
obey,3
permits,3
indicate,3
receive,3
public,3
scared,3
prove,3
think,3
virginity,3
continue,3
convicted,3
claimed,3
titled,3
biased,3
signed,3
telling,3
brought,3
beaten,3
built,3
cover,3
protest,3
Monitoring,3
set,3
killing,3
if,3
create,3
testify,3
conduct,3
insisted,3
obtained,3
explained,3
look,3
met,3
make,3
adding,3
say,3
saw,3
investigating,3
pending,3
went,3
…,3
military,3
demanding,3
violates,3
monitoring,3
know,3
means,3
ruled,3
reviewed,3
establish,3
getting,3
amend,3
convinced,2
campaigners,2
need,2
protesting,2
expressed,2
resulted,2
believed,2
posted,2
abused,2
conference,2
walking,2
consulted,2
marked,2
end,2
lasting,2
stalking,2
violate,2
chosen,2
questioned,2
carrying,2
exceeded,2
belonged,2
sold,2
reports,2
happen,2
director,2
wrote,2
known,2
concern,2
mob,2
cited,2
reduced,2
going,2
oversaw,2
narrative,2
knew,2
targeted,2
activist,2
appoint,2
forced,2
prevent,2
prompted,2
influence,2
given,2
interrogated,2
challenges,2
waiting,2
follow,2
hold,2
policing,2
received,2
ranging,2
accused,2
cross-examine,2
gave,2
‘,2
caused,2
leading,2
carry,2
suspended,2
behalf,2
reject,2
deeming,2
created,2
of,2
time,2
conceal,2
expose,2
documenting,2
prevented,2
interrogating,2
wish,2
case,2
because,2
many,2
account,2
stipulated,2
became,2
challenge,2
file,2
ousted,2
life,2
for,2
scare,2
calls,2
witnessed,2
implemented,2
contradict,2
group,2
t,2
listed,2
transfer,2
expect,2
accepted,2
changed,2
coverage,2
submitted,2
weren,2
participating,2
holding,2
bring,2
announce,2
conducting,2
lead,2
lay,2
handed,2
resolve,2
initiated,2
airport,2
destroyed,2
examine,2
organised,2
dealing,2
produced,2
entitled,2
upset,2
calling,2
states,2
committing,2
arrived,2
stand,2
devoted,2
incitement,2
raises,2
reflects,2
n,2
find,2
echoing,2
exceeds,2
appearing,2
putting,2
suspects,2
push,2
speak,2
kicked,2
stop,2
operate,2
escalated,2
address,2
amounted,2
heard,2
give,2
believes,2
surprised,2
searching,2
rule,2
fighting,2
Trial,2
march,2
raided,2
receiving,2
testimony,2
become,2
remember,2
appointed,2
order,2
warned,2
enters,2
explains,2
spent,2
indicates,2
subject,2
covered,2
participate,2
treated,2
part,2
police,2
wearing,2
throwing,2
disclose,2
programme,2
related,2
acquitted,2
promises,2
at,2
obtain,2
pushed,2
exist,2
since,2
adopt,2
human,1
subjecting,1
ranged,1
suggests,1
dragged,1
listened,1
petitioning,1
splashed,1
pulled,1
practicing,1
score,1
refusing,1
careened,1
running,1
cancel,1
broke,1
international,1
driving,1
kiss,1
exercising,1
absolving,1
fight,1
accountable,1
decided,1
stating,1
gone,1
version,1
ammunition,1
citing,1
answer,1
stands,1
message,1
Failure,1
allows,1
grantasylum,1
hitting,1
collecting,1
liberate,1
crushed,1
unmerciful,1
investigations,1
provides,1
whether,1
restore,1
lasted,1
lacks,1
deposed,1
criminalize,1
oversee,1
Orders,1
defend,1
support,1
exposing,1
precluding,1
enable,1
fell,1
cancelled,1
restrict,1
incidents,1
intention,1
monitored,1
resorted,1
withdraw,1
obligates,1
felt,1
engage,1
marginalised,1
approved,1
eating,1
isolated,1
appeal,1
caged,1
shared,1
replicates,1
retaliated,1
seeks,1
vindicating,1
acquitting,1
congratulate,1
threatens,1
appealed,1
founded,1
honoured,1
avoid,1
call,1
vested,1
attend,1
argues,1
specify,1
fired,1
undress,1
resigned,1
happens,1
presented,1
requiring,1
ran,1
commuted,1
becoming,1
force,1
sexual,1
expressing,1
placing,1
handcuffed,1
protected,1
commanding,1
admitted,1
incriminating,1
researcher,1
voted,1
challenging,1
Help,1
indecent,1
governorates,1
suppress,1
budget,1
assumed,1
claims,1
shows,1
dated,1
captured,1
resolved,1
struggled,1
drove,1
place,1
tied,1
expands,1
exclude,1
security,1
appears,1
prosecuted,1
development,1
use,1
prohibit,1
marching,1
cites,1
receives,1
pursue,1
obliged,1
looking,1
constitute,1
enforced,1
prejudged,1
associated,1
arguing,1
stay,1
representing,1
shaken,1
Death,1
represent,1
enabling,1
Looking,1
toughen,1
indict,1
lifted,1
mourn,1
violating,1
runs,1
concluded,1
article,1
ccountability,1
affirms,1
closing,1
kidnapping,1
attaked,1
injuring,1
towns,1
out,1
restricting,1
mean,1
protecting,1
generals,1
written,1
claiming,1
interviewing,1
art,1
existed,1
press,1
women,1
constituted,1
aggrieved,1
suggested,1
leaving,1
left,1
compiling,1
followed,1
detaining,1
worship,1
gathered,1
lawyers,1
spoken,1
prosecuting,1
trusted,1
honour,1
predict,1
parked,1
prohibits,1
whipped,1
slashed,1
expected,1
interferes,1
register,1
makes,1
investigation.At,1
injured,1
joined,1
assist,1
report,1
refuse,1
owned,1
inflicted,1
iffa,1
cease,1
close,1
success,1
reopens,1
training,1
watchdog,1
read,1
them.At,1
worked,1
degrading,1
declared,1
onto,1
wants,1
stayed,1
detention,1
offered,1
moving,1
screaming,1
recognize,1
pelted,1
denial,1
cooperated,1
award,1
inside,1
thank,1
contradicting,1
regards,1
spoke,1
remedy,1
pertaining,1
issue,1
condemns,1
concluding,1
ratification,1
underscore,1
permit,1
bear,1
Citing,1
takes,1
occurs,1
perpetuates,1
Imagine,1
paid,1
attest,1
recognised,1
determining,1
concerned,1
change,1
assure,1
restricted,1
complained,1
knock,1
operated,1
discussed,1
criminalizing,1
previous,1
ejaculated,1
designed,1
altered,1
done,1
triggered,1
secure,1
remained,1
excise,1
married,1
stipulates,1
work,1
overthrown,1
tackle,1
turned,1
requires,1
organization,1
considered,1
camped,1
refer,1
experienced,1
citizens,1
Several,1
replaced,1
shouting,1
screened,1
misguide,1
independence,1
clashes.At,1
cooperating,1
listing,1
Does,1
Had,1
located,1
parliament,1
thought,1
headed,1
said.At,1
opened,1
Based,1
delayed,1
advocating,1
expended,1
serve,1
chanting,1
performed,1
Speaking,1
perceived,1
spreading,1
conceive,1
slapping,1
mentioned,1
meet,1
perform,1
prosecution,1
dispersed,1
discrimination,1
proponents,1
agree,1
organized,1
persuading,1
noted,1
twisted,1
run,1
Set,1
open,1
escalating,1
banded,1
victims,1
enforce,1
assaulting,1
proposed,1
insisting,1
cases,1
breaking,1
reconsidered,1
Providing,1
investigation,1
suffered,1
reach,1
downtown,1
expresses,1
demanded,1
remind,1
imagined,1
encountered,1
fined,1
today,1
act,1
raise,1
help,1
members,1
guarantees,1
marks,1
beginning,1
extra-legal,1
centralised,1
relating,1
coming,1
month,1
date,1
underlying,1
shot,1
increasing,1
referral,1
faced,1
discuss,1
stressed,1
initiates,1
presiding,1
Let,1
disprove,1
accusing,1
reveal,1
law,1
played,1
before,1
justifies,1
denouncing,1
win,1
send,1
marginalize,1
commented,1
burned,1
kill,1
justify,1
appear,1
punched,1
allowing,1
informed,1
adjourned,1
interrogation,1
assisting,1
obvious,1
decisions,1
existing,1
screamed,1
while,1
denying,1
drive,1
court.It,1
Admission,1
allocation,1
seem,1
pressure,1
dictator,1
raised,1
face,1
toughened,1
winding,1
stomping,1
undergo,1
remove,1
emerging,1
named,1
leads,1
reminded,1
maintained,1
Fixing,1
Following,1
arrest,1
holds,1
coalition,1
granted,1
folded,1
religious,1
covering,1
nothing,1
impunity,1
mocking,1
showing,1
compared,1
sued,1
recounted,1
excluding,1
appoints,1
move,1
tackles,1
talked,1
protection,1
imprisonment,1
asserted,1
passed,1
executive,1
repressing,1
songs,1
charging,1
observe,1
referring,1
touching,1
assault,1
affiliated,1
Given,1
bodily,1
reflected,1
selected,1
keep,1
trumped,1
remain,1
threatened,1
emphasized,1
torn,1
sessions,1
brave,1
fix,1
puts,1
negligent.At,1
supported,1
examination,1
publishes,1
preventing,1
information,1
threaten,1
Conducting,1
empowered,1
asserting,1
provided,1
cooperate,1
year…,1
violence.Egyptian,1
criticises,1
amount,1
apply,1
local,1
sought,1
changing,1
favor,1
focused,1
hit,1
projects,1
defined,1
pursuing,1
consolidate,1
anything,1
perpetuate,1
developing,1
cooperates,1
reform,1
belonging,1
witnesses.Since,1
whipping,1
condemning,1
trust,1
avoided,1
kept,1
reflect,1
facing,1
raping,1
crushing,1
condemn,1
shocked,1
aims,1
exposed,1
indicted,1
echoed,1
demonstrate,1
concerning,1
statement,1
publishing,1
blocking,1
broadcast,1
privacy,1
remembers,1
tacked,1
urging,1
attempted,1
private,1
house,1
advise,1
failing,1
erupted,1
searched,1
refers,1
discriminatory,1
marched,1
corrected,1
occur,1
guarantee,1
decentralised,1
planned,1
counter,1
describe,1
criticise,1
criminalizes,1
tighten,1
heading,1
collaborated,1
lobbying,1
Write,1
dressed,1
defines,1
conforming,1
contended,1
meted,1
demonstrating,1
violated,1
exceeding,1
parliamentary,1
district,1
views,1
recognized,1
woke,1
death,1
censured,1
justified,1
revealing,1
elected,1
live,1
by,1
opposed,1
participated,1
