word,frequency
be,1231
been,624
arrested,230
have,214
released,168
held,161
that,147
issued,144
used,143
accused,139
detained,138
called,134
made,122
take,111
taken,100
filed,99
set,95
protect,92
as,89
do,88
in,87
given,86
injured,83
killed,82
make,81
get,80
referred,78
of,78
based,73
go,72
seen,70
charged,67
was,66
allowed,65
forced,62
put,62
involved,61
allow,59
were,59
see,58
investigate,57
help,57
monitor,57
sentenced,55
stated,55
said,52
committed,52
stop,52
published,51
continue,51
elected,51
prevent,51
tortured,49
discuss,49
attacked,49
give,48
denied,48
armed,48
tried,48
proposed,48
provide,47
ousted,46
include,46
beaten,45
expected,45
come,45
considered,45
ensure,44
related,44
military,42
’,42
hold,42
work,42
told,41
left,41
known,40
vote,40
insulting,39
subjected,39
run,38
leave,38
receive,37
live,37
announced,36
such,36
death,36
use,35
know,35
found,35
find,35
alleged,35
end,34
led,34
change,34
t,34
on,34
passed,33
release,33
become,33
reach,33
keep,33
threatened,33
conducted,32
say,32
condemned,32
support,32
met,31
brought,31
speak,31
formed,31
reported,31
concerned,31
protest,30
appointed,30
call,29
criticized,29
received,29
accept,28
done,28
affiliated,27
scheduled,27
presented,27
avoid,27
lead,27
guarantee,27
paid,27
changed,27
increased,26
for,26
imprisoned,25
needed,25
investigated,25
transferred,25
remain,25
faced,25
signed,25
suspended,24
ignored,24
approved,24
pay,24
titled,24
banned,24
announce,24
launched,24
raise,24
defend,24
registered,24
demand,23
organized,23
court,23
return,23
start,23
attend,23
bring,23
try,23
planned,22
treated,22
convicted,22
granted,22
file,22
if,22
break,22
established,22
disbanded,22
targeted,21
disperse,21
placed,21
read,21
prevented,21
express,21
applied,21
interrogated,21
issue,21
enter,21
show,21
had,21
form,21
at,21
increase,21
tell,20
consider,20
deal,20
assaulted,20
prosecuted,20
prove,20
implement,20
implemented,20
respond,20
sent,19
kidnapped,19
If,19
appeal,19
achieve,19
face,19
asked,19
adopted,19
followed,19
submitted,19
represent,19
apply,19
heard,19
address,19
refer,19
accepted,19
oversee,19
establish,19
meet,19
send,18
governorate,18
escape,18
continued,18
by,18
allocated,18
required,18
headed,18
protected,18
documented,18
entitled,18
written,18
reached,18
dropped,18
secure,18
imposed,17
described,17
pressure,17
participate,17
caused,17
expressed,17
dissolved,17
restore,17
stripped,16
hear,16
stolen,16
identified,16
rejected,16
addressed,16
mean,16
draft,16
reform,16
criticised,16
join,16
lost,16
spread,16
think,16
fired,16
chosen,16
removed,16
provided,16
look,16
follow,16
present,16
estimated,15
broken,15
because,15
impose,15
stand,15
joined,15
decide,15
intervene,15
build,15
biased,15
drafted,15
harassed,15
guaranteed,14
promote,14
choose,14
opposed,14
owned,14
discussed,14
turned,14
created,14
affected,14
police,14
adjourned,14
about,14
happened,14
appoint,14
create,14
raided,14
let,14
renewed,14
pass,14
ordered,14
raised,14
carried,14
divided,14
replaced,14
authorized,14
started,14
proven,14
seem,13
step,13
represented,13
respect,13
up,13
seek,13
appear,13
directed,13
organize,13
human,13
detain,13
cast,13
freedom,13
condemn,13
decided,13
tear,13
amend,13
talk,13
resolve,13
want,13
closed,13
raped,13
restricted,13
handed,13
begin,13
cut,13
violence,13
enforced,13
remove,12
ask,12
serve,12
aimed,12
gain,12
moved,12
included,12
save,12
reject,12
communicate,12
affect,12
ban,12
carry,12
out,12
assigned,12
force,12
cover,12
quoted,12
amended,12
stay,12
improve,12
sold,12
accompanied,12
turn,12
served,12
burnt,12
beat,12
shut,12
cooperate,12
exercise,12
kept,12
acquitted,12
meant,12
review,12
power,12
focus,12
happen,12
mentioned,12
over,11
won,11
associated,11
summoned,11
solve,11
understand,11
operate,11
smuggled,11
married,11
witnessed,11
failed,11
state,11
promised,11
comprised,11
win,11
responded,11
extended,11
agreed,11
supervise,11
detailed,11
dispersed,11
attended,11
repeated,11
civil,11
justify,11
suspected,11
strike,11
died,11
report,11
agree,11
confirmed,11
observe,11
punished,11
after,11
postponed,11
prosecute,11
invited,11
determined,11
cancel,11
added,11
prepared,10
offer,10
questioned,10
dealt,10
focused,10
named,10
watch,10
control,10
benefit,10
expose,10
since,10
blame,10
permitted,10
interfere,10
demonstrate,10
threaten,10
driven,10
life,10
identify,10
lifted,10
encourage,10
stopped,10
supposed,10
burned,10
organised,10
built,10
surrounded,10
observed,10
settle,10
confirm,10
arrest,10
dragged,10
gathered,10
free,9
collected,9
ruled,9
don,9
located,9
stamped,9
confiscated,9
returned,9
outlined,9
limit,9
international,9
attempted,9
open,9
gone,9
punish,9
clear,9
determine,9
influence,9
resume,9
hinder,9
submit,9
act,9
place,9
believe,9
comment,9
recognized,9
composed,9
replace,9
bail,9
adopt,9
thrown,9
explain,9
hit,9
prepare,9
discovered,9
listen,9
distributed,9
restructure,9
democracy,9
sell,9
mark,9
question,9
sign,9
recorded,9
toppled,9
require,9
approve,9
maintain,8
believed,8
write,8
hide,8
ended,8
encouraged,8
demonstrated,8
block,8
declared,8
acknowledge,8
reduced,8
marred,8
escalate,8
destroyed,8
prison,8
halt,8
cause,8
refused,8
dissolve,8
campaign,8
filled,8
develop,8
attack,8
covered,8
clashed,8
torture,8
abused,8
engaged,8
appealed,8
push,8
trial,8
respected,8
ease,8
seized,8
lose,8
cited,8
handled,8
silence,8
listed,8
tied,8
complained,8
wait,8
monitored,8
deny,8
dismissed,8
caught,8
propose,8
move,8
deported,8
violate,8
fight,8
worked,8
linked,7
connected,7
launch,7
practice,7
hired,7
deemed,7
prosecution,7
annul,7
inform,7
suspend,7
confronted,7
rebuild,7
intended,7
claim,7
disband,7
worried,7
played,7
canceled,7
tarnish,7
aired,7
sparked,7
pursue,7
parliament,7
burn,7
notified,7
into,7
reduce,7
negotiate,7
contacted,7
Article,7
spend,7
collect,7
disrupt,7
handle,7
defame,7
rigged,7
counted,7
forged,7
commit,7
expand,7
like,7
refrain,7
kill,7
feel,7
escalated,7
supported,7
hand,7
repeat,7
revive,7
against,7
restrict,7
confront,7
manage,7
perform,7
until,7
play,7
fabricated,7
abide,7
treat,7
incited,7
deprived,7
experienced,7
shared,6
need,6
nominate,6
marked,6
violated,6
occur,6
contested,6
examine,6
evaluate,6
obstruct,6
retrieve,6
safeguard,6
check,6
preserve,6
whether,6
elect,6
specified,6
transfer,6
admit,6
overturned,6
inside,6
shoot,6
pushed,6
frozen,6
withdrawn,6
compared,6
challenged,6
inspect,6
facilitate,6
produced,6
document,6
deployed,6
warned,6
designed,6
are,6
visit,6
comply,6
engage,6
performed,6
fallen,6
heightened,6
security,6
close,6
declare,6
interviewed,6
wounded,6
offered,6
storm,6
reserved,6
controlled,6
harm,6
national,6
produce,6
reformed,6
boycott,6
assist,6
dedicated,6
oppose,6
refuse,6
shot,6
freed,6
exist,6
designated,6
virginity,6
bear,6
marry,6
impede,6
exerted,6
disappointed,6
delivered,6
informed,6
exert,6
deliver,6
catch,6
record,6
trained,6
destroy,6
noted,6
register,6
ratified,6
convert,6
achieved,6
recognised,6
undergo,6
developed,6
testify,6
defined,6
describe,5
convince,5
wear,5
suggested,5
anything,5
cancelled,5
curb,5
viewed,5
overcome,5
cleared,5
die,5
resort,5
coincide,5
other,5
occurred,5
political,5
buy,5
begun,5
ve,5
evicted,5
regulate,5
governed,5
sit,5
expelled,5
lift,5
welcomed,5
exclude,5
hospitalized,5
enforce,5
transported,5
surprised,5
before,5
investigation,5
embedded,5
pledged,5
reflect,5
consist,5
criticize,5
result,5
promoted,5
pursued,5
obtained,5
embrace,5
revoke,5
convened,5
blamed,5
celebrate,5
polling,5
contribute,5
extradited,5
welcome,5
health,5
secured,5
heated,5
suffered,5
part,5
selected,5
contain,5
televised,5
stalled,5
challenge,5
surpassed,5
demanded,5
hosted,5
opened,5
diffuse,5
order,5
isolated,5
halted,5
fulfill,5
justified,5
object,5
information,5
publish,5
execute,5
gather,5
subject,5
convinced,5
insulted,5
proved,5
appeared,5
rule,5
civilian,5
executed,5
separated,5
revoked,5
introduced,5
add,5
Let,5
target,5
Many,5
grow,4
reinstated,4
peaceful,4
many,4
politicized,4
slated,4
stipulated,4
female,4
founded,4
scared,4
appealing,4
reveal,4
convey,4
locked,4
fit,4
plagued,4
verify,4
understood,4
belong,4
afford,4
backed,4
converted,4
flee,4
fled,4
sexual,4
extradite,4
learn,4
interpreted,4
while,4
mobilize,4
state-run,4
several,4
satisfied,4
attributed,4
abandoned,4
highlight,4
awarded,4
name,4
donate,4
state-owned,4
mention,4
foreign,4
maintained,4
govern,4
school,4
exercised,4
harass,4
criminal,4
during,4
sidelined,4
certain,4
overlooked,4
commence,4
revealed,4
As,4
fail,4
captured,4
throw,4
jailed,4
organise,4
expanded,4
printed,4
sway,4
upheld,4
shocked,4
drop,4
disappeared,4
draw,4
distort,4
fulfilled,4
laid,4
