word,frequency
be,1139
been,585
have,253
that,144
take,107
used,107
make,90
arrested,88
held,82
do,82
made,76
killed,75
seen,72
accused,71
detained,71
protect,69
issued,69
published,67
set,67
get,65
as,64
in,63
given,63
called,62
taken,60
was,60
of,59
help,57
released,54
based,53
come,53
become,52
put,51
continue,50
allowed,49
provide,49
expected,48
give,47
filed,47
vote,46
work,46
elected,45
related,45
such,42
go,41
said,41
injured,40
use,40
left,40
known,40
keep,40
charged,38
hold,38
see,38
ensure,38
pay,37
established,37
find,36
armed,36
change,35
tortured,34
involved,33
appointed,33
referred,33
forced,33
prevent,33
done,32
sentenced,32
were,32
bring,31
establish,31
needed,31
organized,31
led,31
considered,30
if,29
lead,29
had,29
brought,29
found,29
on,28
increased,28
granted,27
beaten,27
run,27
try,27
allow,27
death,27
alleged,27
’,27
for,26
raised,26
live,26
caused,26
protest,25
say,25
reported,25
scheduled,25
receive,25
t,25
stop,24
implement,24
formed,24
received,24
create,24
improve,24
remain,24
changed,24
form,24
committed,23
criticized,23
access,23
understand,23
maintain,23
leave,23
avoid,23
increase,22
monitor,22
deal,22
start,22
dissolved,22
tried,22
passed,22
failed,22
end,22
fired,22
denied,22
told,21
launched,21
investigate,21
serve,21
seek,21
registered,21
information,21
announced,21
Edited,21
address,21
estimated,21
described,21
opposed,20
presented,20
paid,20
know,20
planned,20
sold,20
participate,20
required,20
convicted,20
represent,20
conducted,20
subjected,20
reach,20
ousted,20
created,19
turn,19
want,19
witnessed,19
implemented,19
raise,19
submitted,18
attacked,18
face,18
signed,18
stand,18
follow,18
covered,18
documented,17
apply,17
entitled,17
call,17
written,17
stated,17
buy,17
prove,17
affected,17
stay,17
release,16
defend,16
include,16
proposed,16
speak,16
treated,16
decide,16
control,16
targeted,16
like,16
achieve,16
open,16
concerned,16
because,16
pass,16
into,15
support,15
lost,15
show,15
drafted,15
threatened,15
encourage,15
cover,15
at,15
engage,15
expressed,15
banned,15
protected,15
send,15
sent,15
suspended,15
discuss,15
power,14
sell,14
meet,14
build,14
tear,14
adopted,14
located,14
determine,14
state,14
enforced,14
gone,14
heard,14
court,14
issue,14
secure,14
impose,14
affiliated,14
disperse,14
look,14
prepared,14
about,14
let,14
demand,14
begin,14
built,13
ask,13
operate,13
politicized,13
asked,13
save,13
fight,13
removed,13
compared,13
affect,13
informed,13
divided,13
tackle,13
afford,13
mobilize,13
Translated,13
choose,13
followed,13
play,13
n,13
applied,13
police,13
draft,13
privatized,13
cut,13
continued,13
obtain,13
refused,13
require,12
out,12
are,12
provided,12
transferred,12
handle,12
present,12
acquitted,12
organize,12
meant,12
deployed,12
destroyed,12
accept,12
associated,12
break,12
arrest,12
hit,12
met,12
happened,12
move,12
supposed,12
supported,12
focused,12
respond,12
wounded,12
included,12
manage,12
reached,12
owned,11
served,11
