word,frequency
Egyptian,26
military,23
human,21
political,16
economic,11
civil,11
legal,11
other,11
social,9
independent,8
new,8
such,8
public,8
recent,7
criminal,7
local,7
general,7
international,6
first,6
joint,5
executive,5
several,4
financial,4
fair,4
former,3
past,3
blame,3
high,3
sexual,3
current,3
domestic,3
responsible,3
unconstitutional,3
necessary,3
transitional,3
strong,3
different,3
last,3
clear,3
religious,3
due,2
active,2
good,2
difficult,2
disturbing,2
parliamentary,2
democratic,2
al-Ganzouri,2
previous,2
basic,2
minimum,2
next,2
judicial,2
sectarian,2
personal,2
second,2
penal,2
violent,2
important,2
unprecedented,2
harmful,2
environmental,2
total,2
tough,2
specific,2
surprising,2
huge,2
chief,2
feminist,2
arbitrary,2
own,2
interior,2
many,2
not,2
al-Ansary,2
fiscal,2
same,2
broad,2
civilian,2
intellectual,2
online,2
sufficient,2
chaotic,1
hired,1
routine,1
central,1
sarcastic,1
double,1
bad,1
el-Kady,1
juvenile,1
senior,1
electoral,1
complete,1
few,1
purported,1
constitutional,1
overall,1
manifest,1
professional,1
widespread,1
post-revolution,1
civic,1
remote,1
agricultural,1
anti-Violence,1
similar,1
before--to,1
yearly,1
whole,1
single,1
State-run,1
anti-corruption,1
prominent,1
divisive,1
main,1
entire,1
pro-democracy,1
pre-election,1
state-controlled,1
reluctant,1
al-Adli,1
national,1
universal,1
anti-government,1
ongoing,1
al-Qadi,1
emerging,1
Transitional,1
certain,1
selective,1
final,1
prime,1
staunch,1
present,1
ambiguous,1
Political,1
contemporary,1
significant,1
legislative,1
strategic,1
al-Sharqawy,1
scathing,1
governmental,1
sole,1
always,1
unable,1
open,1
transparent,1
analytical,1
nonprofit,1
minor,1
missing,1
Personal,1
opportunistic,1
consistent,1
weekly,1
al-Sadat,1
striking,1
positive,1
major,1
working,1
genuinely,1
al-Essawy,1
low,1
top-secret,1
controversial,1
illegal,1
also,1
pivotal,1
unhindered,1
naive,1
el-Garzawy,1
preliminary,1
postal,1
scientific,1
foreign,1
secret,1
impoverished,1
various,1
French,1
down,1
medical,1
Kuwaiti,1
old,1
leading,1
random,1
pro-government,1
damaging,1
American,1
British,1
Current,1
wrong,1
scarce,1
procedural,1
black,1
average,1
election-related,1
21-year-old,1
special,1
five-year,1
even,1
drastic,1
timely,1
small,1
bearded,1
Last,1
re-housed,1
red,1
marital,1
then,1
complimentary,1
deep,1
large,1
superficial,1
now,1
abbreviated,1
conducive,1
instrumental,1
medic,1
contentious,1
parallel,1
premeditated,1
staggering,1
beneficial,1
immediate,1
technical,1
unfair,1
upcoming,1
al-Dawla,1
easy,1
likely,1
suspicious,1
administrative,1
external,1
Non-governmental,1
forceful,1
inevitable,1
extremist,1
instinctive,1
powerful,1
presidential,1
able,1
everyday,1
infidel,1
lazy,1
free,1
al-Fakharany,1
simple,1
nuclear,1
al-Zayyat,1
hysterical,1
al-Gerzawy,1
19th,1
incredible,1
accountable,1
